,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 89291.875), (1, 86205.6875)]","[(0, 73768.34375), (1, 70198.78125)]","[(0, 20753.8671875), (1, 21082.44140625)]","[(0, 12144.9853515625), (1, 12523.7470703125)]","[(0, 16641.328125), (1, 15818.6865234375)]","[(0, 38989.765625), (1, 38399.6015625)]","[(0, 23996.3515625), (1, 26710.1171875)]","[(0, 54421.17578125), (1, 40953.3046875)]","[(0, 3035.9651227678573), (4, 3078.725413602941), (1, 3135.2502604166666), (2, 3251.100360576923), (5, 3269.39453125), (3, 3476.173828125)]","[(0, 36242.4296875), (1, 42470.73046875)]","[(4, 2345.83671875), (3, 2353.406808035714), (5, 2842.8055889423076), (0, 2919.1598307291665), (1, 3563.3756009615386), (2, 4327.754971590909)]","[(0, 40104.93359375), (1, 36071.67578125)]","[(4, 1949.5802556818182), (5, 2304.078125), (3, 2572.2240234375), (1, 2743.087002840909), (2, 3207.133984375), (0, 3608.808984375)]","[(0, 19913.2265625), (1, 34793.6640625)]"
1,"[(0, 81557.2890625), (1, 75061.765625)]","[(0, 60737.03515625), (1, 58669.89453125)]","[(0, 13054.7177734375), (1, 12375.9169921875)]","[(0, 13972.1279296875), (1, 15189.357421875)]","[(0, 13155.953125), (1, 10307.05078125)]","[(0, 18561.37890625), (1, 19573.4140625)]","[(0, 34555.5390625), (1, 38249.421875)]","[(0, 28179.048828125), (1, 23498.806640625)]","[(1, 2652.9593394886365), (0, 2776.8908203125), (4, 2911.7194602272725), (2, 3007.0912109375), (3, 3231.7330078125), (5, 3384.428125)]","[(0, 45886.65625), (1, 99476.0625)]","[(5, 1924.7421875), (3, 2283.26953125), (4, 2518.43701171875), (2, 3729.3529829545455), (0, 4308.934303977273), (1, 4381.6474609375)]","[(0, 24256.99609375), (1, 30014.78515625)]","[(0, 1834.513671875), (1, 2066.6159319196427), (2, 2120.2674153645835), (3, 2904.8106770833333), (5, 3231.9807477678573), (4, 3446.86962890625)]","[(0, 23457.408203125), (1, 39771.05859375)]"
2,"[(0, 120182.0546875), (1, 112613.8046875)]","[(0, 77623.203125), (1, 75976.2734375)]","[(0, 33640.4609375), (1, 33759.6015625)]","[(0, 18696.86328125), (1, 20756.658203125)]","[(0, 22436.791015625), (1, 22266.03125)]","[(0, 49091.640625), (1, 48014.61328125)]","[(0, 41983.33984375), (1, 45481.0859375)]","[(0, 59237.0625), (1, 46515.8828125)]","[(1, 2678.0640625), (2, 2753.716238839286), (0, 2869.351262019231), (5, 2970.125), (4, 2987.3404447115386), (3, 3153.157315340909)]","[(0, 41920.28515625), (1, 27580.412109375)]","[(0, 3856.3022017045455), (2, 4339.9765625), (1, 4352.880208333333), (3, 4521.361478365385), (4, 4657.346540178572), (5, 4896.34375)]","[(0, 25859.091796875), (1, 26374.625)]","[(4, 1217.9271129261363), (3, 1254.96796875), (5, 1386.07529296875), (1, 1512.7931463068182), (0, 1664.4185546875), (2, 1779.6287109375)]","[(0, 24186.49609375), (1, 38543.5703125)]"
3,"[(0, 65571.640625), (1, 60373.2109375)]","[(0, 94839.828125), (1, 94128.890625)]","[(0, 21244.490234375), (1, 18468.044921875)]","[(0, 14618.109375), (1, 15678.3955078125)]","[(0, 27356.93359375), (1, 26833.662109375)]","[(0, 18379.4375), (1, 17765.271484375)]","[(0, 34631.15234375), (1, 33626.3125)]","[(0, 20966.650390625), (1, 25873.400390625)]","[(4, 3827.2155539772725), (5, 4196.96875), (1, 4262.6875), (3, 4324.16171875), (2, 4613.734765625), (0, 4829.640625)]","[(0, 52671.7109375), (1, 63808.9765625)]","[(0, 3053.1412760416665), (1, 3101.165564903846), (2, 3356.6689453125), (4, 3810.6337139423076), (3, 4053.6328125), (5, 4474.604817708333)]","[(0, 45866.96875), (1, 24444.16796875)]","[(4, 4066.860440340909), (1, 4248.551846590909), (3, 4506.195703125), (5, 4514.678125), (2, 4673.875), (0, 4700.628515625)]","[(0, 15099.4365234375), (1, 29970.27734375)]"
4,"[(0, 135017.28125), (1, 133074.203125)]","[(0, 56670.0234375), (1, 59390.35546875)]","[(0, 15886.4306640625), (1, 14638.462890625)]","[(0, 16775.20703125), (1, 17367.681640625)]","[(0, 24789.5), (1, 19584.8984375)]","[(0, 32914.0625), (1, 33056.81640625)]","[(0, 30323.154296875), (1, 32032.734375)]","[(0, 38694.94140625), (1, 41266.08203125)]","[(3, 2635.2902018229165), (4, 2965.1336495535716), (5, 3001.6416015625), (1, 4195.68828125), (0, 4335.6871995192305), (2, 4685.3987379807695)]","[(0, 41090.23046875), (1, 51488.140625)]","[(3, 1958.6131036931818), (4, 2319.5267427884614), (5, 2493.03515625), (2, 4322.838942307692), (1, 4338.157087053572), (0, 4371.984700520833)]","[(0, 40397.01171875), (1, 49311.89453125)]","[(4, 1913.9671630859375), (5, 2065.362862723214), (3, 2317.2410714285716), (1, 2882.052734375), (2, 3200.654296875), (0, 3592.0368303571427)]","[(0, 12216.240234375), (1, 23892.1796875)]"
5,"[(0, 85305.921875), (1, 82246.75)]","[(0, 74471.6640625), (1, 70341.65625)]","[(0, 16491.4453125), (1, 17230.716796875)]","[(0, 14147.6044921875), (1, 14029.9580078125)]","[(0, 18121.15625), (1, 14399.767578125)]","[(0, 25830.69921875), (1, 25859.240234375)]","[(0, 20090.4140625), (1, 18601.60546875)]","[(0, 45196.15234375), (1, 23871.203125)]","[(4, 3746.5852272727275), (3, 3905.45546875), (1, 4207.76171875), (0, 4425.486328125), (5, 4468.8859375), (2, 5043.413671875)]","[(0, 55629.7109375), (1, 64091.71875)]","[(2, 3350.480769230769), (1, 3408.772042410714), (0, 4697.236328125), (4, 6960.163461538462), (5, 7560.828776041667), (3, 8411.828125)]","[(0, 20079.076171875), (1, 22325.396484375)]","[(0, 2324.5422585227275), (2, 2536.2729048295455), (3, 2549.278231534091), (5, 2787.060369318182), (1, 2794.5335286458335), (4, 2962.0436197916665)]","[(0, 58055.03515625), (1, 94077.7421875)]"
6,"[(0, 122146.03125), (1, 114601.234375)]","[(0, 68006.875), (1, 66126.5234375)]","[(0, 18534.298828125), (1, 23362.791015625)]","[(0, 26928.259765625), (1, 31720.529296875)]","[(0, 16267.123046875), (1, 17883.9921875)]","[(0, 30270.337890625), (1, 29893.236328125)]","[(0, 22342.947265625), (1, 21557.095703125)]","[(0, 66513.71875), (1, 43858.32421875)]","[(3, 2736.687677556818), (5, 3088.040838068182), (4, 3219.1829427083335), (0, 4248.357244318182), (2, 4698.365767045455), (1, 4935.941731770833)]","[(0, 38409.9296875), (1, 35224.484375)]","[(0, 2845.889559659091), (1, 3050.5511067708335), (2, 3562.009375), (4, 3950.3362165178573), (3, 4112.4534254807695), (5, 4485.966145833333)]","[(0, 38813.83984375), (1, 40366.78125)]","[(4, 4213.7509765625), (1, 4411.761458333333), (5, 4668.7890625), (3, 4849.73125), (2, 4971.401742788462), (0, 6135.468191964285)]","[(0, 18378.912109375), (1, 32512.05078125)]"
7,"[(0, 87016.6328125), (1, 85085.4921875)]","[(0, 56190.5234375), (1, 57970.44140625)]","[(0, 13633.62109375), (1, 14489.0029296875)]","[(0, 17057.880859375), (1, 20070.919921875)]","[(0, 17719.974609375), (1, 17780.05078125)]","[(0, 44640.765625), (1, 47510.421875)]","[(0, 18984.94140625), (1, 19334.29296875)]","[(0, 48455.5234375), (1, 79182.109375)]","[(5, 3478.958533653846), (4, 3495.190848214286), (3, 4165.920572916667), (2, 4725.258854166666), (1, 5020.77392578125), (0, 5330.083705357143)]","[(0, 50046.421875), (1, 45461.01171875)]","[(4, 2296.1441761363635), (1, 2344.3249289772725), (5, 2410.732421875), (3, 2472.9076171875), (2, 2536.89453125), (0, 2577.84296875)]","[(0, 74994.296875), (1, 58992.94921875)]","[(0, 1889.9190204326924), (1, 2055.2518136160716), (2, 2082.077674278846), (3, 2241.7333233173076), (4, 2403.291015625), (5, 2442.014873798077)]","[(0, 28354.568359375), (1, 55768.82421875)]"
8,"[(0, 99980.5234375), (1, 93100.5078125)]","[(0, 82841.1640625), (1, 75151.6640625)]","[(0, 22615.1171875), (1, 29496.546875)]","[(0, 18845.5546875), (1, 15715.1455078125)]","[(0, 19431.392578125), (1, 19304.296875)]","[(0, 31669.5390625), (1, 29621.453125)]","[(0, 26487.44921875), (1, 28486.212890625)]","[(0, 41824.171875), (1, 31729.333984375)]","[(2, 4659.3796875), (1, 5221.8046875), (0, 5477.759375), (5, 6213.546875), (4, 6790.671875), (3, 7315.2125)]","[(0, 58233.4765625), (1, 38285.29296875)]","[(1, 1709.579296875), (2, 2062.453425480769), (0, 2197.7578125), (4, 3313.403076171875), (3, 3466.7346540178573), (5, 3547.974609375)]","[(0, 28342.51171875), (1, 55271.54296875)]","[(2, 1037.5473307291666), (1, 1151.693115234375), (4, 1153.2950520833333), (5, 1231.2315848214287), (3, 1704.4077524038462), (0, 1797.194614955357)]","[(0, 26526.556640625), (1, 45139.12109375)]"
9,"[(0, 74294.6015625), (1, 70985.3671875)]","[(0, 96912.109375), (1, 96560.984375)]","[(0, 21637.650390625), (1, 18951.529296875)]","[(0, 15802.447265625), (1, 15561.7119140625)]","[(0, 13431.5615234375), (1, 12977.7802734375)]","[(0, 54559.71484375), (1, 56404.42578125)]","[(0, 13751.4580078125), (1, 13069.5419921875)]","[(0, 40173.98828125), (1, 22213.453125)]","[(1, 2744.5260416666665), (5, 3057.637920673077), (4, 3197.2801339285716), (2, 3205.954520089286), (0, 3525.1036658653848), (3, 5152.296875)]","[(0, 34720.87109375), (1, 45286.40625)]","[(3, 2878.0659466911766), (4, 2914.1475694444443), (5, 3177.125732421875), (0, 3736.193359375), (1, 3874.2536764705883), (2, 4156.5234375)]","[(0, 36497.95703125), (1, 42904.53515625)]","[(1, 1018.0358537946429), (2, 1040.6214693509614), (4, 1098.8837139423076), (5, 1179.5472819010417), (3, 1590.598721590909), (0, 1674.31298828125)]","[(0, 37480.609375), (1, 56995.49609375)]"
