,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 9333.9072265625), (1, 8761.9482421875)]","[(0, 9552.6298828125), (1, 7731.10986328125)]","[(0, 13113.5263671875), (1, 12667.15625)]","[(0, 11256.5322265625), (1, 10642.92578125)]","[(0, 10201.38671875), (1, 8590.3798828125)]","[(0, 6890.42333984375), (1, 7034.97412109375)]","[(0, 16100.8046875), (1, 14933.1328125)]","[(0, 6071.123046875), (1, 7392.44384765625)]","[(0, 9249.1240234375), (1, 7006.9521484375)]","[(0, 7995.859375), (1, 8472.4150390625)]","[(0, 11597.837890625), (1, 15399.19921875)]"
1,"[(0, 11211.3427734375), (1, 10304.318359375)]","[(0, 8859.9580078125), (1, 7445.07470703125)]","[(0, 8461.2080078125), (1, 7971.7763671875)]","[(0, 10848.1513671875), (1, 10521.3603515625)]","[(0, 11031.91796875), (1, 8428.5908203125)]","[(0, 7493.92041015625), (1, 7939.87939453125)]","[(0, 12802.1796875), (1, 11794.93359375)]","[(0, 5377.39892578125), (1, 6910.73828125)]","[(0, 5778.0654296875), (1, 6175.84033203125)]","[(0, 8064.20654296875), (1, 8213.9638671875)]","[(0, 8257.4287109375), (1, 7295.24853515625)]"
2,"[(0, 10527.5419921875), (1, 11457.8330078125)]","[(0, 8394.833984375), (1, 8432.8037109375)]","[(0, 11840.0478515625), (1, 11688.9228515625)]","[(0, 11342.287109375), (1, 11978.2314453125)]","[(0, 8999.001953125), (1, 8727.365234375)]","[(0, 10404.4658203125), (1, 10672.0654296875)]","[(0, 5244.8427734375), (1, 5188.1103515625)]","[(0, 9401.3115234375), (1, 8328.154296875)]","[(0, 5611.02783203125), (1, 11743.830078125)]","[(0, 14089.9892578125), (1, 10064.5244140625)]","[(0, 7663.96240234375), (1, 7324.25537109375)]"
3,"[(0, 10794.7138671875), (1, 10096.0751953125)]","[(0, 7217.95458984375), (1, 7051.28271484375)]","[(0, 16108.8837890625), (1, 16487.703125)]","[(0, 14274.552734375), (1, 14640.15234375)]","[(0, 8526.7978515625), (1, 8708.6826171875)]","[(0, 10157.1494140625), (1, 10172.7861328125)]","[(0, 9343.7568359375), (1, 9280.2421875)]","[(0, 11758.05078125), (1, 6461.056640625)]","[(0, 4586.2568359375), (1, 5715.4560546875)]","[(0, 7066.09228515625), (1, 8282.3740234375)]","[(0, 12331.712890625), (1, 13592.4931640625)]"
4,"[(0, 17777.54296875), (1, 16776.935546875)]","[(0, 5384.830078125), (1, 4889.7939453125)]","[(0, 15038.9775390625), (1, 16399.5390625)]","[(0, 12718.408203125), (1, 11866.38671875)]","[(0, 13091.9091796875), (1, 10140.3662109375)]","[(0, 8786.935546875), (1, 8861.91015625)]","[(0, 6439.587890625), (1, 6725.08349609375)]","[(0, 10213.642578125), (1, 5823.2001953125)]","[(0, 5327.1015625), (1, 6589.4384765625)]","[(0, 4449.84814453125), (1, 7002.4697265625)]","[(0, 10446.5029296875), (1, 13712.2763671875)]"
5,"[(0, 15031.3349609375), (1, 14221.640625)]","[(0, 5664.18408203125), (1, 4888.33935546875)]","[(0, 9610.6357421875), (1, 10217.9677734375)]","[(0, 14347.9521484375), (1, 12894.1884765625)]","[(0, 14567.9658203125), (1, 11250.6826171875)]","[(0, 8543.4521484375), (1, 8822.412109375)]","[(0, 10050.5966796875), (1, 9632.3271484375)]","[(0, 10953.2724609375), (1, 7088.82470703125)]","[(0, 5576.52880859375), (1, 4800.6943359375)]","[(0, 7917.96630859375), (1, 7386.0380859375)]","[(0, 9676.927734375), (1, 8806.8779296875)]"
6,"[(0, 11374.1220703125), (1, 11191.1005859375)]","[(0, 14198.859375), (1, 13619.26171875)]","[(0, 9963.01953125), (1, 11991.3984375)]","[(0, 11629.458984375), (1, 12126.560546875)]","[(0, 12880.7294921875), (1, 11902.3359375)]","[(0, 10320.3095703125), (1, 10239.5654296875)]","[(0, 10656.23046875), (1, 10141.478515625)]","[(0, 5157.44091796875), (1, 4810.10693359375)]","[(0, 7667.38427734375), (1, 11719.65234375)]","[(0, 9016.44921875), (1, 8418.2119140625)]","[(0, 11568.19921875), (1, 12290.3740234375)]"
7,"[(0, 13223.5126953125), (1, 12659.8017578125)]","[(0, 12816.4599609375), (1, 12706.224609375)]","[(0, 9233.2255859375), (1, 9782.5400390625)]","[(0, 14051.3017578125), (1, 14811.298828125)]","[(0, 13441.5810546875), (1, 12413.6357421875)]","[(0, 7413.82861328125), (1, 7524.2626953125)]","[(0, 10517.8984375), (1, 10075.337890625)]","[(0, 5221.36669921875), (1, 9743.6962890625)]","[(0, 7611.3662109375), (1, 5310.52978515625)]","[(0, 9041.23828125), (1, 6447.859375)]","[(0, 13832.9033203125), (1, 17689.177734375)]"
8,"[(0, 8920.3310546875), (1, 8906.52734375)]","[(0, 13374.6162109375), (1, 13400.0361328125)]","[(0, 19750.498046875), (1, 18409.91015625)]","[(0, 12231.5234375), (1, 11944.125)]","[(0, 13583.2158203125), (1, 11036.412109375)]","[(0, 7825.6142578125), (1, 7646.90087890625)]","[(0, 11199.705078125), (1, 11060.888671875)]","[(0, 9341.876953125), (1, 5552.626953125)]","[(0, 6943.23388671875), (1, 7029.5751953125)]","[(0, 10528.42578125), (1, 4663.205078125)]","[(0, 5888.1240234375), (1, 5295.5)]"
9,"[(0, 9824.0224609375), (1, 8984.3896484375)]","[(0, 9606.6865234375), (1, 9299.033203125)]","[(0, 12857.435546875), (1, 12253.4267578125)]","[(0, 17405.13671875), (1, 17562.203125)]","[(0, 12921.1953125), (1, 12071.349609375)]","[(0, 6806.21240234375), (1, 6637.08056640625)]","[(0, 7263.044921875), (1, 7318.40478515625)]","[(0, 10915.9609375), (1, 9664.2373046875)]","[(0, 4689.0166015625), (1, 5522.81494140625)]","[(0, 7266.48828125), (1, 6590.029296875)]","[(0, 8823.404296875), (1, 7756.49951171875)]"
