,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 1803.8511962890625), (1, 2202.015380859375)]","[(0, 1376.129150390625), (1, 1795.0262451171875)]","[(0, 6132.234375), (1, 4957.2666015625)]","[(0, 3496.091796875), (1, 3124.926025390625)]","[(0, 7742.84912109375), (1, 5922.24560546875)]","[(0, 7462.1845703125), (1, 8361.32421875)]","[(0, 12441.3701171875), (1, 14797.1806640625)]","[(0, 1847.3875732421875), (1, 1652.5701904296875)]","[(4, 101.20222024356617), (3, 118.85740661621094), (1, 128.27881673177083), (0, 164.91071428571428), (5, 180.82242838541666), (2, 260.2446852463942)]","[(0, 5712.88427734375), (1, 5547.86865234375)]","[(4, 74.09754231770833), (3, 90.95364815848214), (0, 97.03737386067708), (5, 113.17841045673077), (1, 121.04625525841347), (2, 127.65185546875)]","[(0, 4678.8408203125), (1, 2988.0166015625)]","[(4, 428.1822620738636), (1, 517.9661310369319), (3, 527.70634765625), (5, 533.03642578125), (2, 652.01015625), (0, 663.263232421875)]","[(0, 11911.705078125), (1, 10428.3974609375)]"
1,"[(0, 2100.06689453125), (1, 2488.951416015625)]","[(0, 1882.9510498046875), (1, 2497.854248046875)]","[(0, 1999.795166015625), (1, 2005.11083984375)]","[(0, 5252.11083984375), (1, 5032.0537109375)]","[(0, 6642.1142578125), (1, 4027.455322265625)]","[(0, 10770.7744140625), (1, 9652.705078125)]","[(0, 6818.54345703125), (1, 8636.734375)]","[(0, 2712.6455078125), (1, 1230.8590087890625)]","[(4, 206.09077592329547), (1, 249.694580078125), (3, 277.850146484375), (5, 288.663525390625), (0, 343.663525390625), (2, 351.569775390625)]","[(0, 3154.241455078125), (1, 2664.41845703125)]","[(4, 427.6407063802083), (3, 537.7471147017045), (1, 573.9363606770834), (5, 618.5111860795455), (0, 649.5270774147727), (2, 749.1076882102273)]","[(0, 1731.0218505859375), (1, 2608.15380859375)]","[(4, 333.1080322265625), (1, 348.5891810825893), (5, 372.7218540736607), (2, 407.5006917317708), (3, 417.10387369791664), (0, 492.9795673076923)]","[(0, 3060.267333984375), (1, 3724.446044921875)]"
2,"[(0, 2532.32373046875), (1, 2989.256591796875)]","[(0, 1626.90380859375), (1, 1974.881103515625)]","[(0, 2710.9248046875), (1, 2978.00439453125)]","[(0, 5502.49560546875), (1, 5399.89794921875)]","[(0, 3443.501953125), (1, 3278.703857421875)]","[(0, 13213.9326171875), (1, 13978.326171875)]","[(0, 5842.44140625), (1, 5150.03955078125)]","[(0, 1118.310791015625), (1, 1390.7857666015625)]","[(1, 136.99041341145832), (2, 176.5687255859375), (4, 242.96043043870193), (0, 294.9762995793269), (5, 329.8546956380208), (3, 547.0009765625)]","[(0, 2533.123046875), (1, 2135.83837890625)]","[(4, 375.5667201450893), (1, 398.7657877604167), (5, 456.7888997395833), (3, 457.2819260817308), (2, 496.792431640625), (0, 528.8777521306819)]","[(0, 8020.4736328125), (1, 8169.63623046875)]","[(1, 164.6504239169034), (4, 198.37258078835228), (2, 200.15753173828125), (0, 224.166015625), (5, 243.2530029296875), (3, 277.406787109375)]","[(0, 4380.07861328125), (1, 5048.84423828125)]"
3,"[(0, 2196.30029296875), (1, 2751.251708984375)]","[(0, 1310.32373046875), (1, 1524.2489013671875)]","[(0, 13224.3955078125), (1, 14803.701171875)]","[(0, 9934.3662109375), (1, 10043.95703125)]","[(0, 3403.361083984375), (1, 3292.669677734375)]","[(0, 7432.064453125), (1, 7939.93994140625)]","[(0, 12580.3681640625), (1, 14014.5927734375)]","[(0, 5311.98388671875), (1, 4524.4296875)]","[(1, 261.60367098721593), (4, 288.48384232954544), (2, 349.544140625), (0, 350.4573974609375), (3, 393.376904296875), (5, 397.425244140625)]","[(0, 1635.2943115234375), (1, 1795.2958984375)]","[(1, 422.5469501201923), (2, 462.6716715494792), (0, 469.6736653645833), (4, 490.67333984375), (3, 627.7895100911459), (5, 633.1359049479166)]","[(0, 3335.548583984375), (1, 1881.8944091796875)]","[(4, 475.1271306818182), (1, 477.3048206676136), (5, 572.206103515625), (2, 573.00009765625), (3, 625.981640625), (0, 633.934033203125)]","[(0, 9929.3564453125), (1, 8608.142578125)]"
4,"[(0, 2092.799560546875), (1, 2598.943359375)]","[(0, 1072.197509765625), (1, 1096.56201171875)]","[(0, 19085.728515625), (1, 16515.0859375)]","[(0, 8000.32861328125), (1, 10040.77734375)]","[(0, 13254.1806640625), (1, 7593.20458984375)]","[(0, 7347.20849609375), (1, 6649.77734375)]","[(0, 12915.232421875), (1, 11263.189453125)]","[(0, 3361.530029296875), (1, 2854.04443359375)]","[(3, 128.33344523111978), (4, 133.46855817522322), (0, 146.5972618689904), (1, 158.34580078125), (5, 279.6961263020833), (2, 324.486328125)]","[(0, 7119.9501953125), (1, 6053.87060546875)]","[(1, 214.31659807477678), (2, 231.40440955528845), (4, 234.70331280048077), (5, 281.9906412760417), (0, 334.7661539713542), (3, 480.07950106534093)]","[(0, 751.77783203125), (1, 978.6464233398438)]","[(1, 138.73402404785156), (4, 144.20257568359375), (3, 214.0506591796875), (0, 216.59962681361608), (5, 253.38959612165178), (2, 254.9049072265625)]","[(0, 8008.03125), (1, 6781.837890625)]"
5,"[(0, 2124.276611328125), (1, 2595.562255859375)]","[(0, 778.437744140625), (1, 763.6286010742188)]","[(0, 5184.62841796875), (1, 6438.73388671875)]","[(0, 4878.79150390625), (1, 5380.94384765625)]","[(0, 9968.68359375), (1, 6026.28564453125)]","[(0, 7994.189453125), (1, 9144.158203125)]","[(0, 9249.0625), (1, 10233.7568359375)]","[(0, 3246.927734375), (1, 2712.126953125)]","[(4, 146.908447265625), (5, 170.80255126953125), (1, 190.25412819602272), (3, 204.16446533203126), (2, 226.0820556640625), (0, 281.389013671875)]","[(0, 2687.2626953125), (1, 3615.5693359375)]","[(4, 117.1153564453125), (2, 140.62404221754807), (5, 145.95109049479166), (1, 177.64630998883928), (0, 225.70355224609375), (3, 229.8252840909091)]","[(0, 1369.5802001953125), (1, 1581.3641357421875)]","[(4, 564.0375162760416), (1, 593.8386637369791), (5, 706.9232954545455), (3, 740.853515625), (2, 747.064453125), (0, 792.5385298295455)]","[(0, 3112.769775390625), (1, 3590.544189453125)]"
6,"[(0, 1896.04052734375), (1, 2141.84130859375)]","[(0, 1921.109130859375), (1, 3065.957763671875)]","[(0, 6010.2607421875), (1, 4828.50048828125)]","[(0, 5300.451171875), (1, 6672.27734375)]","[(0, 4323.7841796875), (1, 3495.27490234375)]","[(0, 7278.9794921875), (1, 6381.4609375)]","[(0, 16895.767578125), (1, 16805.87109375)]","[(0, 1853.269775390625), (1, 1741.033203125)]","[(4, 391.9068196614583), (1, 406.1319580078125), (5, 470.9430042613636), (2, 487.77543501420456), (3, 509.45365767045456), (0, 532.1430220170455)]","[(0, 3800.472900390625), (1, 3401.46630859375)]","[(4, 188.4334716796875), (1, 254.71211751302084), (3, 256.1926457331731), (5, 327.49538167317706), (0, 364.8801935369318), (2, 417.7830078125)]","[(0, 4090.616943359375), (1, 2678.23779296875)]","[(3, 241.04715169270833), (1, 245.43385416666666), (0, 257.88112095424106), (5, 276.3933628627232), (2, 294.90487905649036), (4, 345.7640380859375)]","[(0, 12059.693359375), (1, 10772.962890625)]"
7,"[(0, 2010.9122314453125), (1, 2486.49462890625)]","[(0, 2761.369384765625), (1, 4600.208984375)]","[(0, 3288.2919921875), (1, 3613.90087890625)]","[(0, 14321.5263671875), (1, 12957.5615234375)]","[(0, 4118.49951171875), (1, 3165.91943359375)]","[(0, 4654.79443359375), (1, 5296.33837890625)]","[(0, 11619.513671875), (1, 12350.8271484375)]","[(0, 4020.451416015625), (1, 4444.4404296875)]","[(4, 220.23456682477678), (3, 247.52164713541666), (5, 276.03560697115387), (1, 279.59783935546875), (0, 310.3779994419643), (2, 332.2202473958333)]","[(0, 1752.0096435546875), (1, 2017.705810546875)]","[(1, 279.53000710227275), (2, 344.2326416015625), (4, 360.2133123224432), (0, 430.58017578125), (5, 458.318310546875), (3, 559.837060546875)]","[(0, 3263.13818359375), (1, 3106.22802734375)]","[(4, 107.27001081194196), (1, 109.85117885044643), (5, 118.77301494891827), (2, 123.18625112680289), (3, 130.83652907151443), (0, 132.75794396033655)]","[(0, 9826.7119140625), (1, 8832.513671875)]"
8,"[(0, 3220.0810546875), (1, 3934.436767578125)]","[(0, 2290.409423828125), (1, 3463.199462890625)]","[(0, 9488.8447265625), (1, 8831.8740234375)]","[(0, 7016.80908203125), (1, 7237.26123046875)]","[(0, 10929.7841796875), (1, 6652.27001953125)]","[(0, 7356.74462890625), (1, 6681.03271484375)]","[(0, 10257.4716796875), (1, 8576.2265625)]","[(0, 1695.15869140625), (1, 1691.27099609375)]","[(4, 82.94542694091797), (5, 88.12838541666666), (3, 96.9626708984375), (1, 112.437744140625), (2, 123.15845540364583), (0, 133.36106770833334)]","[(0, 5793.74169921875), (1, 6994.32080078125)]","[(4, 89.35614776611328), (1, 120.24235026041667), (2, 123.03960712139423), (5, 134.26326206752233), (3, 166.08576311383928), (0, 166.12764798677884)]","[(0, 3494.39501953125), (1, 3612.742919921875)]","[(4, 68.07166748046875), (1, 68.94024658203125), (2, 81.45604654947917), (5, 83.66278948102679), (3, 142.41136756310095), (0, 145.51084681919642)]","[(0, 1378.1121826171875), (1, 1651.37841796875)]"
9,"[(0, 2393.141357421875), (1, 2924.94775390625)]","[(0, 1501.3067626953125), (1, 1857.6439208984375)]","[(0, 3733.404052734375), (1, 4991.8603515625)]","[(0, 16264.826171875), (1, 17122.162109375)]","[(0, 2231.872314453125), (1, 1742.244873046875)]","[(0, 5540.57177734375), (1, 5196.93994140625)]","[(0, 11574.9755859375), (1, 13430.2041015625)]","[(0, 3435.930908203125), (1, 2846.521728515625)]","[(4, 90.48529052734375), (5, 91.82036884014423), (1, 97.4086669921875), (2, 101.79920305524554), (0, 191.88609900841345), (3, 197.4373575846354)]","[(0, 1726.8568115234375), (1, 2540.192138671875)]","[(4, 128.60002983940973), (3, 133.04113051470588), (0, 147.70843505859375), (1, 164.77844956341912), (5, 236.8319854736328), (2, 248.44658203125)]","[(0, 4775.39697265625), (1, 4064.14404296875)]","[(1, 132.29464285714286), (2, 154.32572115384616), (4, 180.7240271935096), (5, 223.05497233072916), (0, 290.8138020833333), (3, 426.7171519886364)]","[(0, 4243.96923828125), (1, 5113.4375)]"
10,"[(0, 1853.530517578125), (1, 2271.927734375)]","[(0, 1124.35498046875), (1, 1165.3721923828125)]","[(0, 12566.494140625), (1, 13317.8251953125)]","[(0, 5135.1005859375), (1, 5097.21435546875)]","[(0, 1800.43017578125), (1, 1405.7647705078125)]","[(0, 3586.338134765625), (1, 3840.57373046875)]","[(0, 16075.2431640625), (1, 15221.345703125)]","[(0, 4272.130859375), (1, 2644.904296875)]","[(4, 151.64383138020833), (3, 163.41395786830358), (1, 281.0842472956731), (5, 297.6643254206731), (0, 322.27537027994794), (2, 623.091796875)]","[(0, 5983.88916015625), (1, 6459.3681640625)]","[(2, 31.008763930376837), (5, 44.06258975758272), (4, 49.48555715460526), (1, 51.70106265419408), (0, 52.00293327780331), (3, 75.36599551930146)]","[(0, 2737.443359375), (1, 2785.027587890625)]","[(3, 60.668436686197914), (0, 71.48379337086396), (1, 76.98853824013158), (5, 89.01557922363281), (4, 91.40879911534927), (2, 97.13148328993056)]","[(0, 7320.5263671875), (1, 6225.3583984375)]"
