,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 1908.4017333984375), (1, 2442.204345703125)]","[(0, 2968.373779296875), (1, 3196.347900390625)]","[(0, 2498.77392578125), (1, 2590.60400390625)]","[(0, 1889.3330078125), (1, 1896.8333740234375)]","[(0, 3633.58544921875), (1, 2274.791748046875)]","[(0, 5111.6083984375), (1, 4913.90673828125)]","[(0, 6534.63671875), (1, 7200.30615234375)]","[(0, 1800.0028076171875), (1, 1095.8040771484375)]","[(4, 96.48719697840073), (3, 101.4154052734375), (1, 133.16185709635417), (5, 144.48056640625), (0, 155.17524065290178), (2, 236.0755896935096)]","[(0, 2170.3193359375), (1, 2224.487060546875)]","[(4, 88.67298990885416), (3, 95.12922014508929), (0, 95.75441487630208), (1, 119.85962853064903), (5, 135.00092961237982), (2, 145.3237970525568)]","[(0, 2184.35205078125), (1, 1939.368896484375)]","[(4, 187.78797496448863), (3, 191.02325439453125), (5, 196.536572265625), (1, 210.44655539772728), (0, 212.3381591796875), (2, 225.3200927734375)]","[(0, 4117.30908203125), (1, 3663.722412109375)]"
1,"[(0, 3052.79931640625), (1, 4335.6474609375)]","[(0, 3076.648681640625), (1, 3385.08203125)]","[(0, 1420.9146728515625), (1, 1461.791259765625)]","[(0, 3252.766845703125), (1, 3217.398193359375)]","[(0, 3407.87255859375), (1, 2046.1737060546875)]","[(0, 4790.90185546875), (1, 5023.33642578125)]","[(0, 4375.857421875), (1, 5066.6279296875)]","[(0, 1743.1688232421875), (1, 1037.976806640625)]","[(4, 105.94727672230114), (3, 122.05980224609375), (5, 125.70245361328125), (1, 140.6309259588068), (0, 166.44168701171876), (2, 171.015576171875)]","[(0, 1888.7142333984375), (1, 1222.6297607421875)]","[(4, 187.16192626953125), (3, 216.95878462357953), (5, 229.02208362926137), (1, 244.67352294921875), (0, 249.56278852982953), (2, 261.34707919034093)]","[(0, 1563.7755126953125), (1, 2015.806396484375)]","[(4, 182.4559326171875), (5, 191.72577776227678), (3, 196.66980794270833), (1, 220.26503208705358), (0, 238.23980243389423), (2, 278.058349609375)]","[(0, 2489.94970703125), (1, 1993.402099609375)]"
2,"[(0, 2933.880859375), (1, 4126.26806640625)]","[(0, 2607.959716796875), (1, 2660.45751953125)]","[(0, 1236.0123291015625), (1, 1404.3424072265625)]","[(0, 2788.70849609375), (1, 2803.9384765625)]","[(0, 1722.1424560546875), (1, 1457.4510498046875)]","[(0, 8173.53271484375), (1, 7718.328125)]","[(0, 2093.522216796875), (1, 2237.94775390625)]","[(0, 1130.2906494140625), (1, 1354.738037109375)]","[(1, 105.580224609375), (2, 115.94251360212054), (4, 178.9427208533654), (5, 192.1893513997396), (0, 195.52473332331732), (3, 286.23146750710225)]","[(0, 2796.5009765625), (1, 2060.019775390625)]","[(4, 192.84798758370536), (3, 203.37250225360577), (5, 206.2643839518229), (1, 232.8702392578125), (0, 239.85828746448863), (2, 241.9614990234375)]","[(0, 3009.588623046875), (1, 3676.802734375)]","[(1, 119.2659579190341), (0, 124.82674560546874), (2, 134.9156494140625), (4, 137.34714577414772), (3, 145.6093017578125), (5, 155.62677001953125)]","[(0, 2637.310302734375), (1, 2113.18994140625)]"
3,"[(0, 3124.6220703125), (1, 4274.51123046875)]","[(0, 2270.505859375), (1, 2374.48828125)]","[(0, 6972.98193359375), (1, 7593.5302734375)]","[(0, 3911.204833984375), (1, 3983.841796875)]","[(0, 1635.1968994140625), (1, 1402.591064453125)]","[(0, 5658.919921875), (1, 5301.29052734375)]","[(0, 5118.22314453125), (1, 4857.421875)]","[(0, 3006.32421875), (1, 2352.437744140625)]","[(4, 147.45460094105113), (3, 167.79215087890626), (1, 172.88465465198863), (5, 184.28167724609375), (0, 195.67982177734376), (2, 213.9597900390625)]","[(0, 1782.399658203125), (1, 2071.690673828125)]","[(2, 194.23638916015625), (1, 198.40948016826923), (0, 209.50349934895834), (5, 244.4300333658854), (4, 248.8418907752404), (3, 261.4536539713542)]","[(0, 2090.028076171875), (1, 1228.9324951171875)]","[(1, 199.87990500710228), (0, 217.74677734375), (2, 227.578662109375), (4, 228.99915660511363), (3, 247.997021484375), (5, 267.15146484375)]","[(0, 3710.028564453125), (1, 3159.989013671875)]"
4,"[(0, 2341.930419921875), (1, 3279.091552734375)]","[(0, 840.2711181640625), (1, 779.99609375)]","[(0, 6511.09814453125), (1, 6043.86279296875)]","[(0, 3664.82666015625), (1, 4301.283203125)]","[(0, 4293.23876953125), (1, 2558.67724609375)]","[(0, 3797.3681640625), (1, 3989.99365234375)]","[(0, 3832.26806640625), (1, 4136.17236328125)]","[(0, 1972.3497314453125), (1, 1544.5499267578125)]","[(1, 112.82078450520834), (0, 113.88173264723558), (4, 116.02834647042411), (3, 118.23494466145833), (5, 184.03474934895834), (2, 189.69829852764423)]","[(0, 1974.5921630859375), (1, 3606.536376953125)]","[(4, 108.40814678485577), (5, 118.13074747721355), (1, 119.9715576171875), (2, 127.71353853665866), (0, 185.0234171549479), (3, 190.79796253551137)]","[(0, 747.464111328125), (1, 1197.48046875)]","[(1, 84.11847686767578), (4, 84.48065185546875), (3, 126.07659040178571), (2, 130.85465785435267), (5, 131.20760672433036), (0, 133.4233136858259)]","[(0, 3225.96728515625), (1, 2937.54833984375)]"
5,"[(0, 2634.93701171875), (1, 3549.47802734375)]","[(0, 814.5382690429688), (1, 734.4280395507812)]","[(0, 2227.245361328125), (1, 2642.240966796875)]","[(0, 2499.397216796875), (1, 2864.08251953125)]","[(0, 4451.1171875), (1, 2689.775390625)]","[(0, 4304.31982421875), (1, 4308.84619140625)]","[(0, 5161.37744140625), (1, 4981.013671875)]","[(0, 2246.3134765625), (1, 1597.0494384765625)]","[(4, 131.85041947798297), (1, 137.85807661576703), (5, 145.909423828125), (3, 149.2240478515625), (2, 151.31466064453124), (0, 157.603662109375)]","[(0, 2379.0), (1, 3348.386474609375)]","[(4, 72.44460824819711), (5, 75.76506042480469), (2, 91.84744027944711), (1, 115.71513148716518), (3, 118.75380637428977), (0, 146.44144694010416)]","[(0, 770.8052368164062), (1, 1191.0494384765625)]","[(1, 312.46787516276044), (0, 324.20112748579544), (2, 329.8159845525568), (4, 330.33664957682294), (3, 340.2365056818182), (5, 356.17631392045456)]","[(0, 1953.4019775390625), (1, 1871.20166015625)]"
6,"[(0, 2790.41650390625), (1, 3945.736083984375)]","[(0, 2654.93603515625), (1, 3296.05322265625)]","[(0, 2548.00439453125), (1, 1966.4267578125)]","[(0, 2556.9453125), (1, 2562.24853515625)]","[(0, 1890.187255859375), (1, 1658.8365478515625)]","[(0, 2991.69482421875), (1, 2953.561767578125)]","[(0, 8699.12109375), (1, 10248.0166015625)]","[(0, 1586.33203125), (1, 1653.80322265625)]","[(1, 219.47770182291666), (2, 240.52601207386363), (0, 248.6697665127841), (4, 253.129638671875), (5, 278.4322398792614), (3, 287.55104758522725)]","[(0, 2047.134033203125), (1, 1796.2164306640625)]","[(4, 127.44224330357143), (3, 135.20206392728366), (1, 160.82941691080728), (0, 195.9378995028409), (5, 200.5633748372396), (2, 241.0458984375)]","[(0, 2474.36328125), (1, 2082.7744140625)]","[(5, 139.52251325334822), (3, 142.49436848958334), (0, 169.60517229352678), (2, 170.80510066105768), (1, 176.68727213541666), (4, 184.3064727783203)]","[(0, 3774.542236328125), (1, 3325.33740234375)]"
7,"[(0, 2133.363037109375), (1, 2970.880126953125)]","[(0, 2838.30029296875), (1, 3686.563720703125)]","[(0, 1499.0855712890625), (1, 1611.180908203125)]","[(0, 5614.126953125), (1, 5436.75048828125)]","[(0, 1631.768798828125), (1, 1358.1964111328125)]","[(0, 3322.361083984375), (1, 3403.481201171875)]","[(0, 7023.28271484375), (1, 7830.59423828125)]","[(0, 3386.2734375), (1, 2937.453369140625)]","[(1, 143.31459045410156), (4, 147.54066685267858), (2, 152.82224934895834), (3, 153.6085001627604), (5, 158.73469426081732), (0, 163.77701241629464)]","[(0, 1262.3223876953125), (1, 1486.4241943359375)]","[(1, 159.44814231178978), (2, 179.67064208984374), (0, 219.6339111328125), (4, 222.281494140625), (5, 253.529931640625), (3, 306.1265380859375)]","[(0, 2115.274658203125), (1, 2093.65185546875)]","[(0, 94.402587890625), (3, 94.98927659254808), (4, 102.37215750558036), (1, 102.88672746930804), (5, 107.35861440805289), (2, 109.19699331430289)]","[(0, 2737.986328125), (1, 2607.61767578125)]"
8,"[(0, 3355.09912109375), (1, 4568.111328125)]","[(0, 2401.463134765625), (1, 2706.466064453125)]","[(0, 4655.5400390625), (1, 4646.80615234375)]","[(0, 3730.019775390625), (1, 3838.621826171875)]","[(0, 4580.90625), (1, 2537.2177734375)]","[(0, 4053.646484375), (1, 4019.067626953125)]","[(0, 3461.703857421875), (1, 3677.332275390625)]","[(0, 1545.8377685546875), (1, 1518.621337890625)]","[(4, 60.65046691894531), (5, 61.29153238932292), (3, 62.686848958333336), (1, 83.74359893798828), (2, 86.09600423177083), (0, 88.90165201822917)]","[(0, 2406.236328125), (1, 3148.660400390625)]","[(4, 64.86454772949219), (1, 83.09835611979166), (2, 87.55785193810097), (3, 91.16984340122768), (5, 93.83738490513393), (0, 107.07967435396634)]","[(0, 1888.5394287109375), (1, 2666.11376953125)]","[(4, 77.640185546875), (1, 77.65362548828125), (5, 82.87700544084821), (2, 90.1203369140625), (0, 114.57278006417411), (3, 115.94935960036058)]","[(0, 1063.6168212890625), (1, 919.0586547851562)]"
9,"[(0, 2582.80859375), (1, 3597.165771484375)]","[(0, 1588.1953125), (1, 1629.370361328125)]","[(0, 2118.468505859375), (1, 2253.140625)]","[(0, 6663.08935546875), (1, 6690.30322265625)]","[(0, 1028.23828125), (1, 858.2858276367188)]","[(0, 3317.807861328125), (1, 3485.694580078125)]","[(0, 5429.63134765625), (1, 5272.470703125)]","[(0, 2235.507568359375), (1, 1617.614990234375)]","[(4, 80.92822265625), (5, 81.30234938401442), (2, 94.30654471261161), (1, 97.38038736979166), (0, 132.77776630108173), (3, 140.19759114583334)]","[(0, 1096.68017578125), (1, 1538.0111083984375)]","[(4, 87.33963351779514), (3, 88.24897317325367), (0, 101.02344512939453), (1, 117.66979262408088), (5, 125.78974914550781), (2, 135.46398111979167)]","[(0, 4189.46044921875), (1, 2596.303955078125)]","[(1, 104.05093819754464), (2, 116.04039588341347), (4, 128.19316218449518), (5, 141.41094970703125), (0, 178.5291748046875), (3, 224.06642844460228)]","[(0, 2933.959228515625), (1, 2368.492919921875)]"
