,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 1914.3779296875), (1, 2332.598876953125)]","[(0, 2849.877685546875), (1, 2745.041748046875)]","[(0, 3734.4013671875), (1, 4021.863037109375)]","[(0, 4931.779296875), (1, 4271.1044921875)]","[(0, 5646.095703125), (1, 4373.78369140625)]","[(0, 4369.64794921875), (1, 4534.1572265625)]","[(0, 6776.87841796875), (1, 7327.91650390625)]","[(0, 2085.5947265625), (1, 1804.3707275390625)]","[(1, 154.02150065104166), (4, 154.08790498621323), (5, 174.75240885416667), (3, 176.7655487060547), (0, 180.65382603236608), (2, 181.84033203125)]","[(0, 3744.68994140625), (1, 3771.83984375)]","[(3, 131.3404279436384), (0, 136.24067179361978), (4, 140.58600260416668), (1, 158.05530724158655), (5, 177.3076171875), (2, 205.5420809659091)]","[(0, 2550.54248046875), (1, 2399.334228515625)]","[(4, 292.08041104403407), (3, 304.05146484375), (1, 315.5914417613636), (5, 320.98984375), (0, 327.9601318359375), (2, 349.78056640625)]","[(0, 4567.8408203125), (1, 4444.41552734375)]"
1,"[(0, 2993.70703125), (1, 4206.6396484375)]","[(0, 3351.821044921875), (1, 3310.955078125)]","[(0, 2887.869140625), (1, 2767.366943359375)]","[(0, 5410.6923828125), (1, 5508.83837890625)]","[(0, 6145.18408203125), (1, 4161.30029296875)]","[(0, 4580.15966796875), (1, 4435.85791015625)]","[(0, 5957.15625), (1, 6638.0361328125)]","[(0, 1944.0372314453125), (1, 1635.9798583984375)]","[(1, 179.5723211115057), (4, 206.8553799715909), (0, 221.367822265625), (2, 227.7978759765625), (3, 242.4974365234375), (5, 256.0677734375)]","[(0, 2485.714599609375), (1, 2724.885009765625)]","[(4, 242.41581217447916), (3, 242.8048650568182), (5, 262.07987837357956), (0, 306.00454989346593), (2, 333.24995561079544), (1, 353.1299235026042)]","[(0, 3051.2275390625), (1, 3480.941162109375)]","[(4, 236.32232666015625), (1, 241.67745535714286), (5, 251.6282958984375), (3, 259.27208658854164), (2, 286.62042236328125), (0, 307.44287109375)]","[(0, 4459.087890625), (1, 5024.88916015625)]"
2,"[(0, 2471.563720703125), (1, 3061.39697265625)]","[(0, 2670.15966796875), (1, 2769.154052734375)]","[(0, 3123.087890625), (1, 3422.5419921875)]","[(0, 5821.279296875), (1, 6625.76025390625)]","[(0, 3482.694091796875), (1, 3085.660888671875)]","[(0, 7954.29443359375), (1, 8212.8515625)]","[(0, 3048.955810546875), (1, 2809.7431640625)]","[(0, 2178.37744140625), (1, 2477.312255859375)]","[(1, 231.40768229166667), (2, 266.01968819754467), (4, 269.6757061298077), (0, 303.74692007211536), (5, 318.67600504557294), (3, 354.2683771306818)]","[(0, 2280.30126953125), (1, 1956.6199951171875)]","[(4, 267.61537388392856), (1, 276.26572672526044), (5, 291.75998942057294), (2, 299.891064453125), (3, 306.0188739483173), (0, 349.3202459161932)]","[(0, 5133.6953125), (1, 5031.77490234375)]","[(1, 274.3287242542614), (0, 279.9677978515625), (4, 290.3604625355114), (3, 295.356591796875), (2, 329.1457763671875), (5, 347.73974609375)]","[(0, 3650.236083984375), (1, 4229.1416015625)]"
3,"[(0, 2711.34326171875), (1, 3668.55078125)]","[(0, 3029.530517578125), (1, 2990.673583984375)]","[(0, 7323.6689453125), (1, 7108.3759765625)]","[(0, 6700.32763671875), (1, 7654.29931640625)]","[(0, 3512.500732421875), (1, 3042.205810546875)]","[(0, 5138.083984375), (1, 5314.654296875)]","[(0, 5520.1875), (1, 5816.7841796875)]","[(0, 3011.486572265625), (1, 3484.8271484375)]","[(4, 205.75388405539772), (1, 224.71300159801137), (3, 243.8722412109375), (5, 256.696142578125), (0, 265.133544921875), (2, 279.98916015625)]","[(0, 1770.2459716796875), (1, 2167.84326171875)]","[(2, 300.7161458333333), (0, 302.8158365885417), (3, 328.998291015625), (5, 329.503173828125), (1, 333.2216796875), (4, 333.24267578125)]","[(0, 2768.593017578125), (1, 2401.77685546875)]","[(1, 364.0293634588068), (4, 380.2728160511364), (0, 443.562060546875), (2, 446.2763671875), (3, 466.105322265625), (5, 475.989697265625)]","[(0, 5141.91748046875), (1, 5395.1875)]"
4,"[(0, 3245.906005859375), (1, 4480.08056640625)]","[(0, 1754.435546875), (1, 1635.3731689453125)]","[(0, 6438.224609375), (1, 6939.8447265625)]","[(0, 5246.1533203125), (1, 5302.47900390625)]","[(0, 6021.00048828125), (1, 3852.506591796875)]","[(0, 3418.12841796875), (1, 3213.197265625)]","[(0, 4544.60302734375), (1, 4407.8818359375)]","[(0, 2947.357177734375), (1, 2591.534423828125)]","[(3, 154.77169799804688), (4, 166.99616350446428), (1, 178.12161458333333), (0, 179.79157902644232), (5, 229.1683553059896), (2, 250.57557091346155)]","[(0, 3022.90966796875), (1, 3890.817626953125)]","[(1, 179.23095703125), (4, 179.23580228365384), (5, 179.6413370768229), (2, 187.85631385216345), (3, 213.703857421875), (0, 222.1407674153646)]","[(0, 1189.2255859375), (1, 1486.04296875)]","[(4, 234.10296630859375), (3, 248.73611886160714), (1, 255.4790496826172), (5, 278.84765625), (0, 281.13790457589283), (2, 307.138427734375)]","[(0, 3517.02587890625), (1, 3884.103515625)]"
5,"[(0, 2875.3046875), (1, 3743.554443359375)]","[(0, 1447.1832275390625), (1, 1281.3154296875)]","[(0, 5736.2451171875), (1, 5657.5546875)]","[(0, 4286.966796875), (1, 4476.3564453125)]","[(0, 7115.4228515625), (1, 4720.98681640625)]","[(0, 3703.53466796875), (1, 3872.78173828125)]","[(0, 6237.30322265625), (1, 6332.373046875)]","[(0, 3272.76513671875), (1, 3588.024658203125)]","[(4, 173.7602871981534), (1, 175.3178045099432), (5, 189.7888427734375), (2, 193.18394775390624), (3, 194.491796875), (0, 195.19847412109374)]","[(0, 2646.215087890625), (1, 3045.933349609375)]","[(1, 143.86628069196428), (2, 168.37676532451923), (4, 184.31563626802884), (5, 207.16463216145834), (0, 208.68035888671875), (3, 289.7391912286932)]","[(0, 2254.56689453125), (1, 2256.3369140625)]","[(1, 309.9413248697917), (4, 329.89556884765625), (0, 346.72676225142044), (2, 351.32211026278407), (3, 363.43619051846593), (5, 378.0042613636364)]","[(0, 5617.2705078125), (1, 6782.90478515625)]"
6,"[(0, 3747.7412109375), (1, 4400.3759765625)]","[(0, 2140.088623046875), (1, 2319.687744140625)]","[(0, 2668.126953125), (1, 2965.7548828125)]","[(0, 5616.61181640625), (1, 5493.27294921875)]","[(0, 4354.3642578125), (1, 4155.736328125)]","[(0, 3013.836669921875), (1, 2872.284423828125)]","[(0, 7867.75927734375), (1, 8781.80859375)]","[(0, 2595.876708984375), (1, 2274.66162109375)]","[(1, 316.3462727864583), (4, 321.98907470703125), (2, 342.6519886363636), (5, 354.86996182528407), (0, 374.6862127130682), (3, 390.0890003551136)]","[(0, 3334.533935546875), (1, 3120.16748046875)]","[(1, 171.1529541015625), (2, 196.1117431640625), (4, 198.14817592075892), (0, 228.4078702059659), (5, 231.77364095052084), (3, 264.9145695612981)]","[(0, 3276.42822265625), (1, 3047.516845703125)]","[(3, 278.0231119791667), (4, 289.4222412109375), (0, 302.5125209263393), (5, 304.39100864955356), (1, 316.2262369791667), (2, 336.2880108173077)]","[(0, 4853.49072265625), (1, 4864.91845703125)]"
7,"[(0, 2324.193115234375), (1, 3068.3125)]","[(0, 2587.5224609375), (1, 2989.983642578125)]","[(0, 3535.430908203125), (1, 3662.57666015625)]","[(0, 7167.95458984375), (1, 7582.38623046875)]","[(0, 4648.623046875), (1, 4189.6484375)]","[(0, 3010.429931640625), (1, 3369.1591796875)]","[(0, 6379.51953125), (1, 7316.76416015625)]","[(0, 3379.372802734375), (1, 3318.0166015625)]","[(4, 230.982666015625), (2, 238.169140625), (1, 239.6170654296875), (0, 240.27512904575892), (5, 256.9041090745192), (3, 264.78293863932294)]","[(0, 2367.433837890625), (1, 2546.68017578125)]","[(1, 246.6586026278409), (4, 257.31784889914775), (2, 301.7043212890625), (0, 318.57666015625), (5, 320.999951171875), (3, 333.0977294921875)]","[(0, 3119.19140625), (1, 3208.573486328125)]","[(1, 146.51007952008928), (2, 156.02117450420673), (0, 160.56422776442307), (4, 202.52498953683036), (3, 216.12152569110577), (5, 217.00339918870193)]","[(0, 4262.38427734375), (1, 4224.03857421875)]"
8,"[(0, 3717.927001953125), (1, 4795.09765625)]","[(0, 2301.07958984375), (1, 2348.88671875)]","[(0, 6058.1279296875), (1, 6802.25439453125)]","[(0, 5865.97900390625), (1, 5390.939453125)]","[(0, 6668.9501953125), (1, 4370.9150390625)]","[(0, 4274.42919921875), (1, 3865.896240234375)]","[(0, 4008.82421875), (1, 3945.536376953125)]","[(0, 2229.075927734375), (1, 1938.2032470703125)]","[(1, 118.03022766113281), (4, 118.23470306396484), (5, 121.07919921875), (2, 121.81141764322916), (0, 122.16298828125), (3, 125.31356608072916)]","[(0, 3614.9453125), (1, 4325.5986328125)]","[(1, 154.48238932291667), (2, 177.74932391826923), (4, 190.6671600341797), (5, 210.82005092075892), (0, 217.54920372596155), (3, 240.76485770089286)]","[(0, 3144.597412109375), (1, 3508.081787109375)]","[(1, 135.28369140625), (4, 139.69737955729167), (5, 161.55611746651786), (2, 161.6529296875), (0, 169.37234933035714), (3, 170.0577674278846)]","[(0, 2711.298095703125), (1, 3098.343505859375)]"
9,"[(0, 3253.874267578125), (1, 4492.50927734375)]","[(0, 1933.4761962890625), (1, 1999.4833984375)]","[(0, 5262.900390625), (1, 4761.29541015625)]","[(0, 8986.7626953125), (1, 8846.6435546875)]","[(0, 4053.87060546875), (1, 3455.6806640625)]","[(0, 3577.637451171875), (1, 3508.92822265625)]","[(0, 4871.02783203125), (1, 4968.06201171875)]","[(0, 2593.658203125), (1, 1918.52294921875)]","[(1, 157.48323567708334), (2, 163.04961286272322), (4, 174.05282156808036), (5, 180.8346228966346), (0, 214.92170597956732), (3, 284.07224527994794)]","[(0, 1985.5916748046875), (1, 2241.53515625)]","[(4, 123.20316569010417), (3, 126.78419404871323), (5, 149.81558227539062), (1, 155.3525821461397), (0, 160.56451416015625), (2, 180.21446940104167)]","[(0, 5011.58447265625), (1, 4090.573974609375)]","[(1, 160.30636160714286), (4, 199.65626878004807), (0, 205.3012898763021), (2, 206.42844801682693), (5, 253.44146728515625), (3, 280.8403986150568)]","[(0, 4908.79638671875), (1, 5471.20458984375)]"
