,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 423.2950439453125), (1, 466.23712158203125)]","[(0, 270.51910400390625), (1, 326.8641357421875)]","[(0, 1736.3746337890625), (1, 1786.9268798828125)]","[(0, 710.24560546875), (1, 750.3878173828125)]","[(0, 3257.109619140625), (1, 1339.8662109375)]","[(0, 3584.833740234375), (1, 3855.32568359375)]","[(0, 2985.64697265625), (1, 3521.220947265625)]","[(0, 351.3964538574219), (1, 296.6929016113281)]","[(4, 18.207194608800553), (3, 21.31317138671875), (5, 32.421531168619794), (1, 34.49552815755208), (0, 43.159781319754465), (2, 56.4907461313101)]","[(0, 2768.820068359375), (1, 2660.298828125)]","[(3, 15.44325692313058), (4, 17.091766357421875), (5, 25.950279822716347), (0, 30.84039815266927), (2, 50.18560236150568), (1, 59.02345628004808)]","[(0, 1287.112060546875), (1, 1094.76171875)]","[(5, 245.2562744140625), (4, 250.19873046875), (3, 284.7793701171875), (1, 317.3858087713068), (2, 321.5122314453125), (0, 383.1522705078125)]","[(0, 2919.4716796875), (1, 2183.0224609375)]"
1,"[(0, 383.53521728515625), (1, 369.0781555175781)]","[(0, 463.8450927734375), (1, 628.8734741210938)]","[(0, 392.2171325683594), (1, 327.9532165527344)]","[(0, 1545.1575927734375), (1, 1427.003173828125)]","[(0, 2587.53125), (1, 1557.1561279296875)]","[(0, 3505.9814453125), (1, 3134.160400390625)]","[(0, 2654.29150390625), (1, 3760.393310546875)]","[(0, 447.3360900878906), (1, 320.74871826171875)]","[(5, 47.299432373046876), (4, 48.22862659801137), (2, 58.62679443359375), (1, 59.61674360795455), (3, 79.7631591796875), (0, 111.4354736328125)]","[(0, 1820.19873046875), (1, 1249.62646484375)]","[(4, 224.00262451171875), (3, 270.50508256392044), (5, 277.0142267400568), (0, 318.7085626775568), (2, 326.4871937144886), (1, 358.0545654296875)]","[(0, 692.9672241210938), (1, 555.3265380859375)]","[(4, 44.75395584106445), (5, 49.63938249860491), (1, 50.80973597935268), (3, 68.589892578125), (0, 79.7934100811298), (2, 79.86085001627605)]","[(0, 873.2276000976562), (1, 890.4063720703125)]"
2,"[(0, 504.1092834472656), (1, 508.44744873046875)]","[(0, 340.3526611328125), (1, 398.3285217285156)]","[(0, 945.8004760742188), (1, 1011.6517333984375)]","[(0, 903.7896728515625), (1, 1045.3165283203125)]","[(0, 1102.7657470703125), (1, 1239.7860107421875)]","[(0, 3851.448486328125), (1, 4005.846923828125)]","[(0, 526.8831176757812), (1, 494.3511962890625)]","[(0, 274.11004638671875), (1, 195.451904296875)]","[(1, 31.32725830078125), (2, 35.703783307756694), (0, 73.19751915564903), (4, 75.30878155048077), (5, 83.77330525716145), (3, 166.2740811434659)]","[(0, 1042.5140380859375), (1, 685.0703125)]","[(4, 81.35172816685268), (3, 91.0550067608173), (1, 98.85071818033855), (0, 131.2190274325284), (5, 150.0389404296875), (2, 195.11259765625)]","[(0, 2310.2509765625), (1, 2417.04248046875)]","[(1, 72.3879061612216), (4, 78.65733753551136), (2, 98.2683349609375), (0, 100.79512939453124), (5, 108.43465576171874), (3, 108.8107421875)]","[(0, 1176.51904296875), (1, 1038.9979248046875)]"
3,"[(0, 693.2484741210938), (1, 677.0418701171875)]","[(0, 345.41253662109375), (1, 363.462158203125)]","[(0, 5230.2177734375), (1, 5071.97021484375)]","[(0, 1581.4417724609375), (1, 1952.5340576171875)]","[(0, 1160.0994873046875), (1, 1301.01416015625)]","[(0, 1251.365234375), (1, 1286.9549560546875)]","[(0, 1140.0064697265625), (1, 1466.8375244140625)]","[(0, 2519.761962890625), (1, 1033.5521240234375)]","[(4, 89.27620627663352), (1, 95.4899569424716), (5, 123.12799072265625), (3, 134.19921875), (2, 134.84168701171876), (0, 142.6773193359375)]","[(0, 888.6436157226562), (1, 589.3885498046875)]","[(4, 135.31905423677884), (0, 151.28753662109375), (3, 162.88886515299478), (1, 203.24793419471155), (2, 214.0441691080729), (5, 236.5676472981771)]","[(0, 1362.7940673828125), (1, 579.3992919921875)]","[(1, 116.86888538707386), (4, 117.28166060014205), (2, 132.91793212890624), (5, 135.84283447265625), (0, 150.8111572265625), (3, 151.74927978515626)]","[(0, 2563.147705078125), (1, 1861.2039794921875)]"
4,"[(0, 516.883056640625), (1, 672.7957153320312)]","[(0, 274.599853515625), (1, 209.8144073486328)]","[(0, 7613.73291015625), (1, 4589.560546875)]","[(0, 2407.868408203125), (1, 3189.94384765625)]","[(0, 2492.571533203125), (1, 1510.3892822265625)]","[(0, 1580.96826171875), (1, 1305.75)]","[(0, 1234.91064453125), (1, 1141.210693359375)]","[(0, 762.6188354492188), (1, 903.3326416015625)]","[(4, 24.626109531947545), (3, 32.06363169352213), (1, 37.34867757161458), (5, 43.46417236328125), (0, 49.69104942908654), (2, 82.87506573016827)]","[(0, 2106.52880859375), (1, 1845.0589599609375)]","[(4, 48.19918588491586), (2, 50.99142221304086), (5, 59.94696044921875), (1, 71.82202584402901), (0, 87.2972920735677), (3, 127.42739035866477)]","[(0, 189.96548461914062), (1, 227.78854370117188)]","[(4, 15.591858863830566), (1, 19.885221481323242), (3, 27.87778581891741), (5, 33.014556884765625), (0, 36.92692347935268), (2, 44.580958775111604)]","[(0, 1632.185302734375), (1, 1251.3348388671875)]"
5,"[(0, 522.6138916015625), (1, 644.1478881835938)]","[(0, 145.96112060546875), (1, 118.2881088256836)]","[(0, 1860.528564453125), (1, 1570.73095703125)]","[(0, 1206.33447265625), (1, 1537.2947998046875)]","[(0, 2842.946044921875), (1, 1914.3677978515625)]","[(0, 2633.021728515625), (1, 3018.4765625)]","[(0, 1201.959228515625), (1, 1434.3443603515625)]","[(0, 872.9349365234375), (1, 790.2025756835938)]","[(2, 47.483944702148435), (5, 50.92746276855469), (4, 52.13492653586648), (1, 52.4072265625), (3, 60.71195678710937), (0, 67.29872436523438)]","[(0, 975.5903930664062), (1, 827.3484497070312)]","[(2, 31.220487154447117), (4, 39.70744441105769), (5, 44.8698984781901), (0, 50.26738993326823), (1, 52.98895699637277), (3, 60.18571888316762)]","[(0, 373.89141845703125), (1, 716.8818969726562)]","[(4, 139.41820271809897), (1, 160.50595092773438), (5, 164.07563920454547), (3, 169.51271750710228), (2, 180.43278364701703), (0, 195.49880149147728)]","[(0, 982.833251953125), (1, 866.1644287109375)]"
6,"[(0, 447.0703430175781), (1, 434.6180725097656)]","[(0, 310.6565856933594), (1, 396.7543640136719)]","[(0, 2211.325439453125), (1, 2044.3616943359375)]","[(0, 659.4750366210938), (1, 720.2888793945312)]","[(0, 2199.466552734375), (1, 1552.4290771484375)]","[(0, 1960.4293212890625), (1, 1760.154541015625)]","[(0, 4109.5029296875), (1, 5694.16748046875)]","[(0, 540.9500122070312), (1, 476.07867431640625)]","[(2, 83.09538685191761), (5, 92.67436634410511), (1, 95.56870524088542), (4, 103.9320068359375), (0, 120.80504261363636), (3, 128.2475031072443)]","[(0, 637.2794189453125), (1, 446.4440612792969)]","[(4, 45.290736607142854), (3, 57.20615797776442), (1, 69.73190307617188), (0, 84.11402476917614), (5, 97.38641357421875), (2, 158.37509765625)]","[(0, 869.2581176757812), (1, 794.2018432617188)]","[(1, 28.336861165364585), (0, 37.68133980887277), (3, 38.51766357421875), (2, 40.88910851111779), (5, 46.22709001813616), (4, 52.57687759399414)]","[(0, 2972.15380859375), (1, 2077.63427734375)]"
7,"[(0, 531.8096923828125), (1, 603.0533447265625)]","[(0, 427.4584045410156), (1, 616.5006103515625)]","[(0, 1315.4554443359375), (1, 1146.344482421875)]","[(0, 4268.583984375), (1, 3189.989501953125)]","[(0, 2520.9443359375), (1, 1464.114990234375)]","[(0, 1489.7896728515625), (1, 1547.9134521484375)]","[(0, 1746.0206298828125), (1, 2287.256591796875)]","[(0, 1021.0779418945312), (1, 825.269287109375)]","[(2, 53.04069417317708), (1, 57.45140838623047), (4, 58.883047921316965), (5, 64.83456655649039), (0, 76.15927559988839), (3, 128.67586263020834)]","[(0, 533.2113037109375), (1, 507.0528564453125)]","[(1, 120.78920676491477), (4, 165.27390358664772), (2, 180.36885986328124), (0, 191.9211181640625), (5, 256.03994140625), (3, 267.374853515625)]","[(0, 498.5924987792969), (1, 655.0206909179688)]","[(1, 38.862091064453125), (4, 39.21158708844866), (2, 42.20708759014423), (5, 42.58354304387019), (3, 49.66873403695914), (0, 51.97480656550481)]","[(0, 2397.3603515625), (1, 1587.6131591796875)]"
8,"[(0, 693.4019165039062), (1, 839.6087036132812)]","[(0, 390.4356994628906), (1, 528.6878662109375)]","[(0, 4464.5341796875), (1, 4444.2119140625)]","[(0, 1670.462646484375), (1, 2555.638427734375)]","[(0, 3071.68798828125), (1, 1542.240478515625)]","[(0, 1815.4676513671875), (1, 1727.2454833984375)]","[(0, 1208.4935302734375), (1, 1134.1572265625)]","[(0, 290.5037536621094), (1, 415.2119445800781)]","[(5, 20.473215738932293), (4, 22.242013931274414), (2, 24.78724365234375), (1, 27.50425148010254), (3, 28.617999267578124), (0, 36.39609375)]","[(0, 1496.973388671875), (1, 1724.2501220703125)]","[(4, 27.225807189941406), (2, 36.64204758864183), (1, 41.33033447265625), (5, 41.425685337611604), (0, 41.71946364182692), (3, 46.416229248046875)]","[(0, 1103.983642578125), (1, 1132.6705322265625)]","[(2, 17.342032877604165), (1, 20.50905418395996), (5, 22.374010358537948), (4, 24.602970377604166), (0, 36.005214146205354), (3, 49.00643686147836)]","[(0, 365.9660949707031), (1, 366.6494140625)]"
9,"[(0, 602.442626953125), (1, 683.4747924804688)]","[(0, 254.42430114746094), (1, 244.5904541015625)]","[(0, 1612.5498046875), (1, 1025.9276123046875)]","[(0, 3059.079833984375), (1, 2669.533203125)]","[(0, 1500.418701171875), (1, 950.4635009765625)]","[(0, 796.4287109375), (1, 761.9921264648438)]","[(0, 1601.6656494140625), (1, 1893.841064453125)]","[(0, 458.2831726074219), (1, 424.4708251953125)]","[(2, 29.004115513392858), (1, 33.675270589192706), (5, 43.1168447641226), (4, 52.526354108537944), (0, 58.08909724308894), (3, 111.38962809244792)]","[(0, 692.250244140625), (1, 803.6659545898438)]","[(4, 28.07138231065538), (3, 29.49323766371783), (5, 38.159698486328125), (0, 42.253238677978516), (1, 51.741020651424634), (2, 67.84292399088541)]","[(0, 837.8026123046875), (1, 649.0267333984375)]","[(1, 32.033399309430806), (2, 42.63505202073317), (4, 43.59219595102164), (5, 53.1208241780599), (0, 89.5645243326823), (3, 128.50325150923297)]","[(0, 1164.351806640625), (1, 1249.1439208984375)]"
