,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 537.619384765625), (1, 619.1626586914062)]","[(0, 366.8790588378906), (1, 432.5840148925781)]","[(0, 2553.615234375), (1, 2996.54345703125)]","[(0, 894.264404296875), (1, 996.9506225585938)]","[(0, 3749.599853515625), (1, 1747.7681884765625)]","[(0, 3600.7490234375), (1, 3611.413330078125)]","[(0, 3850.677490234375), (1, 4996.33251953125)]","[(0, 522.4638671875), (1, 342.4554443359375)]","[(3, 23.791780471801758), (4, 25.307444852941178), (0, 38.63994925362723), (5, 40.691548665364586), (1, 41.2197265625), (2, 60.92810528094952)]","[(0, 2544.547607421875), (1, 2432.75146484375)]","[(0, 22.540573120117188), (3, 24.43072727748326), (4, 30.43331502278646), (2, 43.970245361328125), (5, 44.60814960186298), (1, 49.02265812800481)]","[(0, 2064.295166015625), (1, 1030.5845947265625)]","[(5, 163.619677734375), (4, 167.8871404474432), (2, 199.82357177734374), (3, 201.35018310546874), (1, 205.73905806107953), (0, 261.2572509765625)]","[(0, 5862.9423828125), (1, 5429.18115234375)]"
1,"[(0, 598.5731811523438), (1, 666.6444702148438)]","[(0, 626.9796752929688), (1, 809.6289672851562)]","[(0, 755.9995727539062), (1, 641.4267578125)]","[(0, 1737.9642333984375), (1, 2090.8564453125)]","[(0, 3298.471435546875), (1, 1731.3907470703125)]","[(0, 3424.01416015625), (1, 3435.137939453125)]","[(0, 3066.747314453125), (1, 4004.953125)]","[(0, 509.3943786621094), (1, 261.6462097167969)]","[(4, 62.16761363636363), (1, 69.615234375), (5, 70.15313110351562), (2, 76.0727294921875), (3, 86.974365234375), (0, 109.69176025390625)]","[(0, 1156.2689208984375), (1, 890.1376342773438)]","[(4, 243.0949503580729), (5, 253.17973188920453), (3, 273.93734463778407), (1, 307.06396484375), (2, 324.14328835227275), (0, 354.4928089488636)]","[(0, 1175.87744140625), (1, 1095.3067626953125)]","[(4, 67.37260437011719), (1, 73.68967110770089), (5, 91.14041573660714), (2, 109.30294799804688), (0, 109.49952110877403), (3, 120.22240397135417)]","[(0, 958.7457275390625), (1, 1109.0224609375)]"
2,"[(0, 598.1315307617188), (1, 701.9927978515625)]","[(0, 502.3443908691406), (1, 624.5853271484375)]","[(0, 1424.4075927734375), (1, 1469.6610107421875)]","[(0, 1514.400390625), (1, 2002.79541015625)]","[(0, 987.8583374023438), (1, 987.8922119140625)]","[(0, 4445.2841796875), (1, 4283.203125)]","[(0, 1250.36083984375), (1, 1216.4129638671875)]","[(0, 362.4581604003906), (1, 315.0863342285156)]","[(1, 52.33610432942708), (2, 52.3367919921875), (0, 98.4120624248798), (4, 102.2117168719952), (5, 104.76912434895833), (3, 183.22822709517047)]","[(0, 896.4195556640625), (1, 603.3507690429688)]","[(1, 90.51077270507812), (4, 91.95161655970982), (3, 117.77556903545673), (5, 132.71261596679688), (0, 140.86885209517047), (2, 142.6243408203125)]","[(0, 2086.68115234375), (1, 2072.29150390625)]","[(1, 92.2460049715909), (2, 95.81940307617188), (4, 98.86787553267045), (5, 108.88267822265625), (0, 126.41480712890625), (3, 131.21063232421875)]","[(0, 2401.506591796875), (1, 2612.867919921875)]"
3,"[(0, 837.6047973632812), (1, 964.0161743164062)]","[(0, 319.330078125), (1, 347.5487365722656)]","[(0, 8288.4580078125), (1, 6262.0673828125)]","[(0, 3750.669189453125), (1, 5513.11669921875)]","[(0, 902.9833374023438), (1, 952.3603515625)]","[(0, 2145.013671875), (1, 2299.44970703125)]","[(0, 2123.9111328125), (1, 2235.99462890625)]","[(0, 2091.283203125), (1, 1087.1531982421875)]","[(4, 78.32426868785511), (1, 85.40355890447444), (3, 107.3894775390625), (5, 112.0799072265625), (0, 119.77099609375), (2, 127.4683349609375)]","[(0, 677.2675170898438), (1, 731.5299072265625)]","[(2, 125.76949055989583), (0, 126.14732869466145), (1, 197.49945537860577), (5, 202.86275227864584), (4, 207.04850886418268), (3, 209.02006022135416)]","[(0, 1727.3870849609375), (1, 730.1105346679688)]","[(4, 180.88737349076703), (1, 194.66652610085228), (5, 245.74033203125), (2, 272.2802978515625), (3, 344.0002685546875), (0, 381.607177734375)]","[(0, 3536.2265625), (1, 3342.66259765625)]"
4,"[(0, 386.5195617675781), (1, 524.2647094726562)]","[(0, 317.7898254394531), (1, 275.4627990722656)]","[(0, 11514.2998046875), (1, 6855.80126953125)]","[(0, 3183.34912109375), (1, 4341.12548828125)]","[(0, 4645.43212890625), (1, 2679.55078125)]","[(0, 3080.03955078125), (1, 2994.06982421875)]","[(0, 1487.09130859375), (1, 1639.5074462890625)]","[(0, 1063.436767578125), (1, 798.9714965820312)]","[(3, 33.88707478841146), (4, 35.325347900390625), (1, 48.7179443359375), (0, 52.34105036808894), (5, 64.53093973795573), (2, 77.47536527193509)]","[(0, 1994.760009765625), (1, 1820.1640625)]","[(5, 93.34386189778645), (1, 94.92504010881696), (2, 95.6097881610577), (4, 101.6937725360577), (0, 159.85655721028647), (3, 171.93314985795453)]","[(0, 325.7943420410156), (1, 346.646728515625)]","[(4, 48.47398376464844), (1, 51.40144348144531), (3, 62.04834420340402), (0, 64.69363403320312), (5, 80.89762660435268), (2, 86.0869140625)]","[(0, 3283.19384765625), (1, 2858.371337890625)]"
5,"[(0, 461.55450439453125), (1, 647.6112060546875)]","[(0, 188.8131561279297), (1, 187.5891876220703)]","[(0, 2263.903564453125), (1, 2237.158203125)]","[(0, 1660.85009765625), (1, 1815.88232421875)]","[(0, 5277.80810546875), (1, 3080.00439453125)]","[(0, 3987.30419921875), (1, 4036.013916015625)]","[(0, 1894.5809326171875), (1, 1900.48388671875)]","[(0, 1146.896728515625), (1, 640.5004272460938)]","[(5, 49.10414123535156), (2, 57.187469482421875), (4, 58.63451038707387), (1, 69.9134687943892), (3, 77.120703125), (0, 92.52136840820313)]","[(0, 1158.432861328125), (1, 1129.0860595703125)]","[(2, 42.15135779747596), (5, 53.57098388671875), (1, 53.93522426060268), (4, 54.04661207932692), (0, 69.03386942545573), (3, 78.13906028053977)]","[(0, 402.3374328613281), (1, 601.1636352539062)]","[(4, 144.7202351888021), (1, 166.89420572916666), (5, 167.80311168323863), (3, 172.75074351917613), (2, 192.97017045454547), (0, 203.52974076704547)]","[(0, 1252.2510986328125), (1, 1278.8446044921875)]"
6,"[(0, 467.436279296875), (1, 538.875244140625)]","[(0, 521.2686767578125), (1, 658.5765991210938)]","[(0, 1910.2125244140625), (1, 1428.3184814453125)]","[(0, 1735.268798828125), (1, 1713.8800048828125)]","[(0, 1844.941162109375), (1, 1508.6251220703125)]","[(0, 2176.630126953125), (1, 2103.05712890625)]","[(0, 4884.33203125), (1, 5585.140625)]","[(0, 618.2522583007812), (1, 598.493896484375)]","[(4, 90.33860270182292), (5, 93.23858087713069), (1, 113.24776204427083), (2, 120.19214976917614), (3, 133.82157759232953), (0, 176.3877618963068)]","[(0, 1506.71142578125), (1, 1405.1890869140625)]","[(4, 53.49426705496652), (1, 67.67910257975261), (3, 74.93756103515625), (5, 92.97144571940105), (0, 104.36365855823864), (2, 139.34921875)]","[(0, 1864.5731201171875), (1, 1278.5689697265625)]","[(0, 43.40373011997768), (1, 51.226888020833336), (2, 60.3934560922476), (4, 68.66129302978516), (5, 70.68486676897321), (3, 81.2117919921875)]","[(0, 5057.0458984375), (1, 4671.1142578125)]"
7,"[(0, 469.7086181640625), (1, 588.0214233398438)]","[(0, 860.0692138671875), (1, 1211.9918212890625)]","[(0, 1345.0833740234375), (1, 1092.1962890625)]","[(0, 5371.2744140625), (1, 4506.32177734375)]","[(0, 2732.389892578125), (1, 2024.909423828125)]","[(0, 2153.5498046875), (1, 2284.913818359375)]","[(0, 2925.959228515625), (1, 3132.537841796875)]","[(0, 1186.1102294921875), (1, 851.31103515625)]","[(4, 73.0311279296875), (1, 73.49079895019531), (5, 75.48674598106972), (2, 75.95869954427083), (0, 91.96963065011161), (3, 107.41595458984375)]","[(0, 648.1465454101562), (1, 746.443359375)]","[(1, 151.9686834161932), (2, 176.147607421875), (4, 186.64537464488637), (0, 210.2671142578125), (5, 214.3734619140625), (3, 255.528515625)]","[(0, 645.4817504882812), (1, 1128.592529296875)]","[(4, 56.266815185546875), (1, 63.92206246512277), (5, 66.79784686748798), (3, 69.54791729266827), (2, 74.16350848858173), (0, 76.9203350360577)]","[(0, 4243.4716796875), (1, 4299.265625)]"
8,"[(0, 839.9349975585938), (1, 1115.796142578125)]","[(0, 683.48681640625), (1, 853.406982421875)]","[(0, 5142.22119140625), (1, 4894.56689453125)]","[(0, 2798.28466796875), (1, 3840.14501953125)]","[(0, 3605.0439453125), (1, 1659.7694091796875)]","[(0, 2260.80224609375), (1, 2043.0313720703125)]","[(0, 1772.5865478515625), (1, 1751.084228515625)]","[(0, 400.9035949707031), (1, 351.49212646484375)]","[(4, 30.91486930847168), (5, 31.292767333984376), (2, 33.33850301106771), (1, 33.3387565612793), (3, 42.32440185546875), (0, 47.03500569661458)]","[(0, 1948.8514404296875), (1, 2685.055908203125)]","[(4, 31.55908203125), (5, 42.06085641043527), (2, 51.90033428485577), (3, 58.85898699079241), (1, 60.421826171875), (0, 84.33126126802884)]","[(0, 1694.38525390625), (1, 1332.80712890625)]","[(1, 23.734264373779297), (5, 27.08510262625558), (2, 28.93702392578125), (4, 37.266133626302086), (0, 53.87723650251116), (3, 73.12976543719952)]","[(0, 541.2208862304688), (1, 615.9547119140625)]"
9,"[(0, 563.552490234375), (1, 728.240966796875)]","[(0, 334.5703430175781), (1, 409.32196044921875)]","[(0, 2050.636474609375), (1, 2434.832275390625)]","[(0, 6923.529296875), (1, 5474.12158203125)]","[(0, 1443.0892333984375), (1, 1032.38427734375)]","[(0, 1338.946533203125), (1, 1296.26708984375)]","[(0, 2377.177734375), (1, 2460.2265625)]","[(0, 883.0134887695312), (1, 632.8970947265625)]","[(4, 36.291534423828125), (2, 38.46915980747768), (5, 39.72652024489183), (1, 48.61180419921875), (0, 72.04991267277644), (3, 80.2336934407552)]","[(0, 804.1002197265625), (1, 1109.345703125)]","[(3, 46.291313620174634), (4, 48.435631646050346), (0, 58.94368362426758), (1, 64.4891357421875), (5, 75.43517303466797), (2, 86.55365397135417)]","[(0, 1385.2064208984375), (1, 1217.1573486328125)]","[(1, 25.49249485560826), (2, 33.79447115384615), (4, 40.35400390625), (5, 41.638587951660156), (0, 79.91780090332031), (3, 110.08491654829545)]","[(0, 2039.4232177734375), (1, 2496.775390625)]"
