,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 375.3003845214844), (1, 412.3677062988281)]","[(0, 285.8919372558594), (1, 369.2983703613281)]","[(0, 1936.2135009765625), (1, 2097.2548828125)]","[(0, 1031.1026611328125), (1, 956.5350952148438)]","[(0, 3813.8525390625), (1, 1825.285888671875)]","[(0, 3395.32470703125), (1, 3501.8876953125)]","[(0, 3403.802490234375), (1, 4090.129638671875)]","[(0, 405.42437744140625), (1, 260.3990478515625)]","[(4, 21.539060704848346), (3, 25.128528594970703), (5, 29.426204427083334), (1, 33.697052001953125), (0, 43.199231828962056), (2, 66.24051607572116)]","[(0, 1839.300048828125), (1, 2362.747802734375)]","[(3, 19.043596540178573), (4, 20.10124308268229), (5, 31.016636775090145), (0, 31.945877075195312), (1, 46.92347130408654), (2, 47.4881591796875)]","[(0, 1260.673583984375), (1, 1023.2590942382812)]","[(5, 198.5585205078125), (4, 236.26598011363637), (2, 243.7247314453125), (3, 266.2041015625), (1, 295.88407759232956), (0, 343.8664794921875)]","[(0, 3327.2216796875), (1, 2974.774169921875)]"
1,"[(0, 595.114013671875), (1, 586.822265625)]","[(0, 436.869140625), (1, 595.9784545898438)]","[(0, 514.9906616210938), (1, 530.6290283203125)]","[(0, 1900.0272216796875), (1, 1478.3941650390625)]","[(0, 2842.243896484375), (1, 1606.2286376953125)]","[(0, 3291.997802734375), (1, 3076.12646484375)]","[(0, 2514.190673828125), (1, 3258.68798828125)]","[(0, 553.038818359375), (1, 310.4454040527344)]","[(5, 57.098748779296876), (4, 59.27426979758523), (2, 71.83221435546875), (3, 74.6388916015625), (1, 74.9116543856534), (0, 102.18562622070313)]","[(0, 1293.85693359375), (1, 842.5471801757812)]","[(4, 255.6339314778646), (3, 282.51930930397725), (5, 304.57270951704544), (0, 305.6927379261364), (1, 331.84214274088544), (2, 338.2071422230114)]","[(0, 807.078857421875), (1, 731.147705078125)]","[(5, 61.34352765764509), (4, 63.19438171386719), (1, 66.01138741629464), (3, 68.79779459635417), (0, 94.08616286057692), (2, 112.08990478515625)]","[(0, 636.3368530273438), (1, 642.7037963867188)]"
2,"[(0, 661.0608520507812), (1, 715.8772583007812)]","[(0, 433.7572326660156), (1, 503.7666320800781)]","[(0, 940.0602416992188), (1, 940.5870971679688)]","[(0, 1238.677978515625), (1, 1245.9803466796875)]","[(0, 1390.2579345703125), (1, 1521.4124755859375)]","[(0, 4343.58935546875), (1, 4433.35400390625)]","[(0, 769.5360107421875), (1, 682.1255493164062)]","[(0, 261.9650573730469), (1, 269.5044250488281)]","[(1, 29.58121134440104), (2, 33.36171395438058), (0, 67.68247164212741), (5, 76.5276590983073), (4, 82.9427490234375), (3, 149.84938742897728)]","[(0, 934.024658203125), (1, 623.3895874023438)]","[(4, 76.41847446986607), (1, 79.35158793131511), (3, 81.3013446514423), (0, 103.17022150213069), (5, 104.26736450195312), (2, 117.8121826171875)]","[(0, 2727.238037109375), (1, 2859.2724609375)]","[(1, 97.25342906605114), (4, 98.11607776988636), (2, 101.42537231445313), (5, 104.62255859375), (0, 118.24638671875), (3, 121.8122314453125)]","[(0, 1071.153076171875), (1, 1001.3504638671875)]"
3,"[(0, 855.52734375), (1, 863.4823608398438)]","[(0, 384.91351318359375), (1, 424.6200256347656)]","[(0, 7034.578125), (1, 6104.39599609375)]","[(0, 2531.321533203125), (1, 2377.07470703125)]","[(0, 1419.0703125), (1, 1576.0899658203125)]","[(0, 2196.56103515625), (1, 2225.162841796875)]","[(0, 2018.4814453125), (1, 2343.78515625)]","[(0, 2096.52392578125), (1, 1049.8402099609375)]","[(4, 70.38798939098011), (1, 72.54208651455966), (5, 77.26605834960938), (2, 79.49827270507812), (3, 91.69645385742187), (0, 97.25508422851563)]","[(0, 667.929931640625), (1, 656.6055297851562)]","[(0, 181.71756998697916), (1, 185.05652794471155), (4, 191.38440880408655), (2, 194.7805379231771), (3, 201.8203328450521), (5, 222.67645263671875)]","[(0, 1570.5616455078125), (1, 533.2100219726562)]","[(2, 107.67000732421874), (1, 125.27833140980114), (5, 125.976025390625), (4, 143.44462446732953), (0, 155.396142578125), (3, 178.9237548828125)]","[(0, 2305.08349609375), (1, 1928.1224365234375)]"
4,"[(0, 632.5606689453125), (1, 829.8760375976562)]","[(0, 270.3735046386719), (1, 232.6994171142578)]","[(0, 7602.8203125), (1, 4288.107421875)]","[(0, 2570.64599609375), (1, 2980.265869140625)]","[(0, 3667.59228515625), (1, 2108.1044921875)]","[(0, 2954.868896484375), (1, 2603.527587890625)]","[(0, 1446.527099609375), (1, 1278.677490234375)]","[(0, 869.9203491210938), (1, 674.4049072265625)]","[(4, 29.145095825195312), (3, 35.60869852701823), (1, 46.147395833333334), (5, 48.93236796061198), (0, 49.49925818810096), (2, 99.99362417367789)]","[(0, 1447.8443603515625), (1, 1542.9744873046875)]","[(5, 62.135457356770836), (4, 62.95970271183894), (2, 65.21488600510817), (1, 75.20834786551339), (0, 111.49478149414062), (3, 140.31871448863637)]","[(0, 250.56893920898438), (1, 238.9373779296875)]","[(4, 23.447172164916992), (1, 25.942121505737305), (3, 37.994720458984375), (5, 38.214791434151785), (2, 43.571236746651785), (0, 43.750819614955354)]","[(0, 2336.481689453125), (1, 2065.031494140625)]"
5,"[(0, 632.6925048828125), (1, 762.9541625976562)]","[(0, 147.22183227539062), (1, 126.60235595703125)]","[(0, 1910.34375), (1, 1992.4688720703125)]","[(0, 1600.551025390625), (1, 1643.982177734375)]","[(0, 3536.76953125), (1, 2145.96337890625)]","[(0, 4069.01123046875), (1, 4623.48388671875)]","[(0, 1712.679931640625), (1, 1948.89794921875)]","[(0, 864.4793090820312), (1, 642.118408203125)]","[(2, 33.71246337890625), (1, 36.74900956587358), (5, 37.472833251953126), (4, 39.417810613458805), (0, 44.945639038085936), (3, 47.522088623046876)]","[(0, 1122.6619873046875), (1, 951.3082275390625)]","[(2, 31.761638934795673), (4, 38.399364764873795), (5, 39.625162760416664), (1, 49.972202845982146), (3, 59.71597567471591), (0, 64.20118204752605)]","[(0, 480.9891662597656), (1, 646.5789794921875)]","[(1, 135.1542765299479), (4, 149.7528076171875), (2, 158.3935213955966), (5, 178.0305841619318), (0, 203.0051935369318), (3, 227.59095348011363)]","[(0, 758.7640991210938), (1, 690.2936401367188)]"
6,"[(0, 469.501220703125), (1, 500.8445129394531)]","[(0, 320.2547912597656), (1, 434.083740234375)]","[(0, 2185.36572265625), (1, 1996.87548828125)]","[(0, 1078.5030517578125), (1, 1231.5264892578125)]","[(0, 1785.8299560546875), (1, 1550.8575439453125)]","[(0, 2942.5224609375), (1, 2541.879638671875)]","[(0, 4635.01953125), (1, 5583.873046875)]","[(0, 543.707763671875), (1, 534.819091796875)]","[(2, 106.86700994318181), (1, 113.54342651367188), (5, 113.80768377130681), (4, 115.52257283528645), (0, 131.05055930397728), (3, 134.33168723366478)]","[(0, 800.0927124023438), (1, 588.7811889648438)]","[(4, 41.14154488699777), (3, 53.10247333233173), (1, 55.53185526529948), (0, 68.94133411754261), (5, 70.86661275227864), (2, 102.34122924804687)]","[(0, 1395.562255859375), (1, 965.98095703125)]","[(1, 36.77368977864583), (3, 43.2009521484375), (0, 49.46250697544643), (2, 52.54989389272836), (5, 52.90607125418527), (4, 64.50491333007812)]","[(0, 3098.500244140625), (1, 2771.962646484375)]"
7,"[(0, 526.5450439453125), (1, 598.846435546875)]","[(0, 501.5937805175781), (1, 733.4855346679688)]","[(0, 954.2335815429688), (1, 1074.4366455078125)]","[(0, 4801.33056640625), (1, 4066.8271484375)]","[(0, 1786.60498046875), (1, 1333.1630859375)]","[(0, 2034.3193359375), (1, 2251.82275390625)]","[(0, 3380.252685546875), (1, 4047.963623046875)]","[(0, 901.39892578125), (1, 998.1777954101562)]","[(4, 55.179779052734375), (2, 60.27963053385417), (5, 63.94409649188702), (1, 71.5484848022461), (0, 75.18116978236607), (3, 103.30115763346355)]","[(0, 481.18231201171875), (1, 510.33843994140625)]","[(1, 128.67573686079547), (2, 147.1281494140625), (4, 169.1960782137784), (0, 186.091015625), (5, 196.8411865234375), (3, 251.0013671875)]","[(0, 573.9702758789062), (1, 770.146484375)]","[(2, 40.65536264272836), (5, 42.20722844050481), (1, 42.364515032087056), (4, 44.297328404017854), (3, 49.12721604567308), (0, 49.12845552884615)]","[(0, 2218.146484375), (1, 2096.6259765625)]"
8,"[(0, 874.2154541015625), (1, 1086.6748046875)]","[(0, 433.82135009765625), (1, 541.9871826171875)]","[(0, 4735.560546875), (1, 4257.15625)]","[(0, 2319.1748046875), (1, 2932.1240234375)]","[(0, 2995.034912109375), (1, 1650.9288330078125)]","[(0, 2619.21728515625), (1, 2402.685302734375)]","[(0, 1520.415283203125), (1, 1510.5224609375)]","[(0, 314.53302001953125), (1, 404.3860168457031)]","[(5, 21.994077555338542), (2, 25.51046142578125), (4, 27.742767333984375), (3, 28.654787190755208), (1, 32.57671356201172), (0, 35.01566975911458)]","[(0, 1457.002197265625), (1, 1862.76220703125)]","[(4, 25.63233184814453), (5, 30.995853969029017), (1, 36.64232177734375), (3, 38.581900460379465), (2, 41.3995126577524), (0, 49.15326866736779)]","[(0, 1175.5360107421875), (1, 1117.5443115234375)]","[(2, 21.07957560221354), (5, 23.163482666015625), (4, 23.7970458984375), (1, 25.123950958251953), (0, 37.20387486049107), (3, 48.96194223257211)]","[(0, 348.26141357421875), (1, 337.3492736816406)]"
9,"[(0, 684.207763671875), (1, 777.04443359375)]","[(0, 323.4022216796875), (1, 338.0299072265625)]","[(0, 1222.979736328125), (1, 1235.93505859375)]","[(0, 4341.19970703125), (1, 3905.934326171875)]","[(0, 897.6150512695312), (1, 698.7100219726562)]","[(0, 1078.9844970703125), (1, 1019.5220947265625)]","[(0, 2232.75341796875), (1, 2471.240966796875)]","[(0, 625.8159790039062), (1, 538.9618530273438)]","[(2, 33.437059674944194), (1, 35.0004638671875), (5, 47.28423602764423), (4, 50.836539132254465), (0, 68.72170316256009), (3, 112.17465209960938)]","[(0, 557.6547241210938), (1, 805.2966918945312)]","[(3, 30.1861572265625), (4, 33.19013129340278), (0, 39.13448715209961), (5, 47.28208923339844), (1, 53.31299187155331), (2, 73.02769368489584)]","[(0, 1221.00439453125), (1, 777.9750366210938)]","[(1, 27.812301635742188), (2, 34.09532048152043), (4, 42.23726712740385), (5, 46.80650329589844), (0, 73.2286885579427), (3, 122.80931507457386)]","[(0, 1059.7261962890625), (1, 1078.3704833984375)]"
