,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 489.1118469238281), (1, 548.0684814453125)]","[(0, 424.8586120605469), (1, 478.1063232421875)]","[(0, 2104.572998046875), (1, 2038.3372802734375)]","[(0, 1017.723388671875), (1, 1126.2850341796875)]","[(0, 2776.73046875), (1, 1390.4449462890625)]","[(0, 2490.8154296875), (1, 2697.898681640625)]","[(0, 4842.4638671875), (1, 5560.1884765625)]","[(0, 560.4315795898438), (1, 305.3579406738281)]","[(4, 31.52394732306985), (1, 34.0067626953125), (3, 34.154693603515625), (0, 41.83502633231027), (5, 43.64752197265625), (2, 58.16837252103365)]","[(0, 1564.4273681640625), (1, 2138.20458984375)]","[(3, 20.548145839146205), (0, 21.127071380615234), (4, 25.132017008463542), (5, 33.14675433819111), (2, 33.99992231889205), (1, 56.33733661358173)]","[(0, 1603.89892578125), (1, 1182.6668701171875)]","[(4, 152.9151944247159), (5, 183.2553955078125), (1, 188.59703480113637), (3, 197.42474365234375), (2, 244.475244140625), (0, 261.586572265625)]","[(0, 2864.197265625), (1, 3063.707275390625)]"
1,"[(0, 594.0771484375), (1, 672.73828125)]","[(0, 659.203369140625), (1, 816.6972045898438)]","[(0, 594.9434204101562), (1, 454.4524841308594)]","[(0, 1684.658203125), (1, 1852.978271484375)]","[(0, 1921.283203125), (1, 1109.42236328125)]","[(0, 2832.85400390625), (1, 2589.770263671875)]","[(0, 3210.72216796875), (1, 3843.6220703125)]","[(0, 583.3947143554688), (1, 288.7578125)]","[(4, 67.57485129616477), (3, 69.781005859375), (1, 74.9903231534091), (0, 78.26700439453126), (5, 81.66547241210938), (2, 90.93003540039062)]","[(0, 1045.4306640625), (1, 803.1318969726562)]","[(5, 149.1120938387784), (3, 149.7571688565341), (4, 163.1200968424479), (0, 206.21169211647728), (2, 211.83735795454547), (1, 222.3934326171875)]","[(0, 580.1748046875), (1, 899.2828979492188)]","[(1, 70.1791512625558), (4, 89.53588104248047), (2, 102.643310546875), (5, 113.93596540178571), (0, 115.13461538461539), (3, 135.922265625)]","[(0, 544.2903442382812), (1, 689.1586303710938)]"
2,"[(0, 747.3964233398438), (1, 783.8446655273438)]","[(0, 554.3201293945312), (1, 582.431884765625)]","[(0, 1318.680419921875), (1, 1285.7447509765625)]","[(0, 1313.714599609375), (1, 1792.5911865234375)]","[(0, 1214.7637939453125), (1, 1049.634521484375)]","[(0, 5207.58203125), (1, 5278.25634765625)]","[(0, 1352.8671875), (1, 1302.07421875)]","[(0, 298.48193359375), (1, 329.0969543457031)]","[(1, 56.209842936197916), (2, 60.39501953125), (4, 71.52846585787259), (5, 73.52738952636719), (0, 112.13236177884616), (3, 154.87070534446022)]","[(0, 1049.4853515625), (1, 568.5296020507812)]","[(1, 89.18502807617188), (4, 113.42013113839286), (0, 138.8688409978693), (2, 139.0954833984375), (3, 152.17095477764423), (5, 162.7262980143229)]","[(0, 2164.5439453125), (1, 2315.150634765625)]","[(1, 61.66991077769887), (4, 66.2633223100142), (2, 73.85794677734376), (5, 78.65654907226562), (0, 83.43055419921875), (3, 89.87354125976563)]","[(0, 1041.5654296875), (1, 1200.07275390625)]"
3,"[(0, 953.0985107421875), (1, 1149.5247802734375)]","[(0, 444.8615417480469), (1, 475.64617919921875)]","[(0, 4252.12890625), (1, 3305.991943359375)]","[(0, 2092.23779296875), (1, 3176.40478515625)]","[(0, 1306.2232666015625), (1, 1200.589599609375)]","[(0, 2080.64306640625), (1, 2283.679931640625)]","[(0, 3023.9248046875), (1, 3236.811767578125)]","[(0, 1708.8214111328125), (1, 1115.6605224609375)]","[(1, 81.1200284090909), (4, 83.98505193536931), (2, 91.59681396484375), (0, 92.31873779296875), (5, 95.53472290039062), (3, 97.73397216796874)]","[(0, 497.3800354003906), (1, 578.3721923828125)]","[(2, 110.76151529947917), (0, 121.49978637695312), (1, 149.4098182091346), (5, 149.8640340169271), (4, 153.4442420372596), (3, 166.6141560872396)]","[(0, 1153.1119384765625), (1, 547.6967163085938)]","[(4, 188.9808904474432), (1, 191.51657936789772), (2, 217.6524169921875), (5, 226.4290283203125), (0, 269.5685546875), (3, 280.2684814453125)]","[(0, 2173.951904296875), (1, 2432.36865234375)]"
4,"[(0, 603.0789184570312), (1, 841.3287353515625)]","[(0, 247.6531524658203), (1, 199.17935180664062)]","[(0, 4049.029541015625), (1, 3536.33447265625)]","[(0, 1562.0853271484375), (1, 2390.605712890625)]","[(0, 3707.71875), (1, 2065.784912109375)]","[(0, 2052.62646484375), (1, 1836.26708984375)]","[(0, 1868.46533203125), (1, 1849.16064453125)]","[(0, 1091.0985107421875), (1, 672.3300170898438)]","[(3, 33.400797526041664), (4, 39.152195521763396), (1, 49.27686767578125), (0, 52.82456618088942), (5, 72.69693501790364), (2, 92.24354905348558)]","[(0, 1925.6527099609375), (1, 1939.511474609375)]","[(5, 70.38963317871094), (1, 72.80460030691964), (2, 72.87155386117789), (4, 78.22275484525241), (3, 116.7655029296875), (0, 129.58882649739584)]","[(0, 282.82470703125), (1, 229.8194580078125)]","[(1, 54.1744499206543), (4, 59.17875289916992), (0, 63.038988385881694), (3, 68.9042489188058), (2, 82.47340611049107), (5, 93.09341866629464)]","[(0, 1683.472900390625), (1, 1807.6380615234375)]"
5,"[(0, 747.6448974609375), (1, 946.7078857421875)]","[(0, 170.0415802001953), (1, 138.74705505371094)]","[(0, 2076.119140625), (1, 1775.6904296875)]","[(0, 1779.70068359375), (1, 1975.9794921875)]","[(0, 3470.34765625), (1, 2071.36572265625)]","[(0, 2794.265869140625), (1, 3071.88720703125)]","[(0, 2163.8876953125), (1, 2251.706787109375)]","[(0, 1010.6261596679688), (1, 822.666259765625)]","[(2, 49.42748107910156), (1, 50.89480868252841), (5, 52.71153564453125), (4, 53.83782404119318), (0, 64.03666381835937), (3, 67.20082397460938)]","[(0, 1040.6212158203125), (1, 1059.873779296875)]","[(2, 29.598679762620193), (4, 35.211273193359375), (5, 41.90155537923177), (1, 46.430332728794646), (0, 51.338592529296875), (3, 58.61801424893466)]","[(0, 499.7276306152344), (1, 689.6487426757812)]","[(2, 177.50630326704547), (5, 180.6933260830966), (4, 183.7265625), (1, 187.6291707356771), (3, 218.81227805397728), (0, 227.71992631392047)]","[(0, 902.6139526367188), (1, 1070.7384033203125)]"
6,"[(0, 561.6919555664062), (1, 612.7127685546875)]","[(0, 392.4010314941406), (1, 567.0851440429688)]","[(0, 1300.7852783203125), (1, 1299.825439453125)]","[(0, 1255.2313232421875), (1, 1388.1495361328125)]","[(0, 1821.928466796875), (1, 1414.999267578125)]","[(0, 2159.2001953125), (1, 1963.6719970703125)]","[(0, 7870.76904296875), (1, 8654.9560546875)]","[(0, 465.53424072265625), (1, 408.3653259277344)]","[(1, 102.71361287434895), (2, 106.8675204190341), (4, 112.33036295572917), (5, 117.99074485085227), (0, 137.41422895951703), (3, 146.98433061079547)]","[(0, 970.5032348632812), (1, 846.129638671875)]","[(4, 59.60919625418527), (1, 67.53171793619792), (3, 82.7880108173077), (5, 86.8357442220052), (0, 104.10814319957386), (2, 109.81192626953126)]","[(0, 1456.5028076171875), (1, 1042.01611328125)]","[(1, 57.453662109375), (0, 58.210780552455354), (2, 74.78028752253606), (3, 81.87736002604167), (5, 97.60675920758929), (4, 104.65853118896484)]","[(0, 2608.323974609375), (1, 2745.520751953125)]"
7,"[(0, 577.349609375), (1, 720.1758422851562)]","[(0, 703.7799072265625), (1, 1165.4500732421875)]","[(0, 1021.0078735351562), (1, 981.1471557617188)]","[(0, 4268.4697265625), (1, 4040.808837890625)]","[(0, 2147.109619140625), (1, 1580.824951171875)]","[(0, 1593.231201171875), (1, 1697.1231689453125)]","[(0, 5122.4765625), (1, 5655.93115234375)]","[(0, 1040.069091796875), (1, 939.737548828125)]","[(4, 58.896719796316965), (5, 61.69944880558894), (2, 65.025341796875), (1, 73.39340209960938), (3, 90.2428487141927), (0, 97.60899135044643)]","[(0, 473.14996337890625), (1, 475.4146728515625)]","[(1, 130.4789151278409), (4, 149.20384632457387), (2, 163.063720703125), (0, 179.59732666015626), (5, 188.30758056640624), (3, 201.427978515625)]","[(0, 823.7941284179688), (1, 724.3589477539062)]","[(4, 40.253941127232146), (1, 42.38421194893973), (5, 44.49022967998798), (2, 46.0046151968149), (3, 55.53003868689904), (0, 57.67949969951923)]","[(0, 2432.662109375), (1, 2632.503173828125)]"
8,"[(0, 1213.9722900390625), (1, 1603.9278564453125)]","[(0, 606.8237915039062), (1, 732.893310546875)]","[(0, 2782.289306640625), (1, 3758.1669921875)]","[(0, 2515.660888671875), (1, 3164.053955078125)]","[(0, 2426.864501953125), (1, 1519.7159423828125)]","[(0, 2197.177001953125), (1, 2042.1373291015625)]","[(0, 2611.4140625), (1, 2390.737060546875)]","[(0, 378.3133544921875), (1, 327.46380615234375)]","[(5, 19.844122314453124), (4, 23.86119842529297), (2, 25.213423665364584), (3, 28.778326416015624), (1, 30.66255760192871), (0, 36.98727213541667)]","[(0, 1728.04541015625), (1, 1669.30908203125)]","[(4, 25.847217559814453), (5, 31.04833984375), (2, 35.47552724984976), (1, 36.85672607421875), (3, 42.347669328962056), (0, 57.28389798677885)]","[(0, 1171.79638671875), (1, 1142.9326171875)]","[(4, 24.068511962890625), (5, 25.743168422154017), (2, 27.967132568359375), (1, 30.196796417236328), (3, 57.64293025090144), (0, 57.850306919642854)]","[(0, 318.6693115234375), (1, 400.7235412597656)]"
9,"[(0, 786.9046630859375), (1, 1007.5717163085938)]","[(0, 399.9168701171875), (1, 429.53680419921875)]","[(0, 1476.0360107421875), (1, 1466.71435546875)]","[(0, 4075.500732421875), (1, 3848.353515625)]","[(0, 597.046142578125), (1, 448.8836975097656)]","[(0, 1546.905517578125), (1, 1543.9732666015625)]","[(0, 2514.212158203125), (1, 2675.31982421875)]","[(0, 686.408935546875), (1, 355.7414245605469)]","[(2, 23.440595354352677), (5, 24.655726506159855), (1, 28.47640584309896), (4, 29.72619410923549), (0, 56.82320932241586), (3, 75.09247334798177)]","[(0, 378.65789794921875), (1, 686.3173828125)]","[(4, 33.00128173828125), (3, 33.18123851102941), (0, 33.353065490722656), (1, 47.96718821806066), (2, 52.358846028645836), (5, 52.668819427490234)]","[(0, 1143.800048828125), (1, 1324.9820556640625)]","[(1, 39.493395124162944), (4, 42.47310227614183), (2, 47.5116952749399), (5, 56.16911315917969), (0, 76.3355204264323), (3, 101.93625710227273)]","[(0, 1012.2476806640625), (1, 1231.854248046875)]"
