,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 990.9527587890625), (1, 1040.8446044921875)]","[(0, 570.334716796875), (1, 707.1033325195312)]","[(0, 6224.39697265625), (1, 6255.2158203125)]","[(0, 5332.22998046875), (1, 4126.56689453125)]","[(0, 13167.48828125), (1, 8037.6640625)]","[(0, 12538.4462890625), (1, 13089.6123046875)]","[(0, 18898.7734375), (1, 24072.6328125)]","[(0, 901.4376220703125), (1, 849.7390747070312)]","[(4, 42.50413243910845), (3, 47.216346740722656), (5, 71.9918701171875), (1, 79.39231770833334), (0, 97.24143763950893), (2, 156.2463097205529)]","[(0, 9572.8662109375), (1, 8793.826171875)]","[(4, 42.44853922526042), (3, 50.078639439174104), (5, 64.66583721454327), (0, 74.26803588867188), (1, 101.04355093149039), (2, 102.18621271306819)]","[(0, 5005.7236328125), (1, 2733.630615234375)]","[(4, 533.8595969460227), (5, 633.16064453125), (1, 677.9820223721591), (3, 716.20439453125), (2, 833.369140625), (0, 948.64296875)]","[(0, 16301.2412109375), (1, 13650.2734375)]"
1,"[(0, 1064.8104248046875), (1, 1087.82568359375)]","[(0, 938.3359375), (1, 1292.2821044921875)]","[(0, 1697.6622314453125), (1, 1489.1973876953125)]","[(0, 7118.66015625), (1, 6082.3369140625)]","[(0, 13832.216796875), (1, 7072.1396484375)]","[(0, 11380.9462890625), (1, 10398.970703125)]","[(0, 10995.4287109375), (1, 15215.5986328125)]","[(0, 1486.1456298828125), (1, 741.0789184570312)]","[(4, 150.6266756924716), (5, 151.3892822265625), (3, 211.6733642578125), (1, 233.41554953835228), (2, 237.8277587890625), (0, 345.1349609375)]","[(0, 3709.349365234375), (1, 2736.53515625)]","[(4, 618.3460286458334), (5, 798.2837357954545), (1, 829.2040201822916), (3, 839.4985795454545), (2, 1012.7010830965909), (0, 1061.8686079545455)]","[(0, 1958.003173828125), (1, 1969.0250244140625)]","[(4, 136.3555908203125), (5, 146.16473388671875), (3, 177.95182291666666), (1, 203.75010463169642), (2, 243.21565755208334), (0, 304.74646935096155)]","[(0, 3473.84423828125), (1, 3279.0322265625)]"
2,"[(0, 1091.4227294921875), (1, 1092.885009765625)]","[(0, 632.6783447265625), (1, 782.2554321289062)]","[(0, 2494.5166015625), (1, 2984.61328125)]","[(0, 4116.70458984375), (1, 4008.43798828125)]","[(0, 6141.1943359375), (1, 4837.6865234375)]","[(0, 12614.607421875), (1, 13273.9775390625)]","[(0, 4726.4013671875), (1, 4249.24658203125)]","[(0, 680.013916015625), (1, 596.188720703125)]","[(1, 81.07164713541667), (2, 101.07402692522321), (0, 161.1640625), (4, 222.9259314903846), (5, 298.73557535807294), (3, 466.5478515625)]","[(0, 3178.85009765625), (1, 2229.08056640625)]","[(4, 207.70792061941964), (3, 265.8799015925481), (5, 285.9651692708333), (1, 340.7696940104167), (2, 547.4560546875), (0, 596.8717595880681)]","[(0, 6786.67724609375), (1, 6351.04931640625)]","[(1, 149.23295454545453), (2, 177.71168212890626), (4, 195.31522993607953), (5, 233.7962890625), (0, 249.379833984375), (3, 331.564404296875)]","[(0, 4031.6591796875), (1, 3834.571533203125)]"
3,"[(0, 1198.9716796875), (1, 1328.6318359375)]","[(0, 551.052734375), (1, 633.977783203125)]","[(0, 20677.193359375), (1, 24446.826171875)]","[(0, 9321.29296875), (1, 9559.0810546875)]","[(0, 5990.91796875), (1, 4892.8916015625)]","[(0, 6504.7734375), (1, 7600.0224609375)]","[(0, 11382.3681640625), (1, 12500.77734375)]","[(0, 6240.64111328125), (1, 2413.3330078125)]","[(1, 219.30781693892047), (4, 227.3976384943182), (2, 262.066259765625), (5, 265.5780517578125), (0, 273.54287109375), (3, 278.9962890625)]","[(0, 2067.462158203125), (1, 1470.9041748046875)]","[(0, 304.796142578125), (2, 311.67116292317706), (1, 324.2688551682692), (4, 377.5745192307692), (3, 448.0093180338542), (5, 492.5791015625)]","[(0, 3088.657958984375), (1, 1158.1097412109375)]","[(1, 509.7433416193182), (4, 517.3633700284091), (2, 586.04658203125), (5, 594.74775390625), (0, 671.434912109375), (3, 682.85517578125)]","[(0, 14042.5947265625), (1, 10028.7197265625)]"
4,"[(0, 1391.879150390625), (1, 1799.697265625)]","[(0, 379.0735778808594), (1, 335.2674255371094)]","[(0, 30263.728515625), (1, 25101.333984375)]","[(0, 12036.736328125), (1, 13710.3017578125)]","[(0, 11534.05078125), (1, 7056.1591796875)]","[(0, 12681.9755859375), (1, 11059.580078125)]","[(0, 16734.302734375), (1, 14683.708984375)]","[(0, 2228.23974609375), (1, 2602.85595703125)]","[(4, 101.79979596819196), (1, 105.09251302083334), (0, 119.29998309795673), (3, 121.37840779622395), (5, 190.16768391927084), (2, 198.70051457331732)]","[(0, 9693.970703125), (1, 5250.96875)]","[(2, 152.51839505709134), (1, 160.27839006696428), (4, 175.12205153245193), (5, 207.7708536783854), (0, 278.4049072265625), (3, 490.15225497159093)]","[(0, 643.9572143554688), (1, 546.5550537109375)]","[(4, 67.19467163085938), (1, 70.61514282226562), (3, 110.24600655691964), (5, 113.34882463727679), (0, 115.81675502232143), (2, 118.57785470145089)]","[(0, 10373.703125), (1, 7974.46728515625)]"
5,"[(0, 1493.13232421875), (1, 1687.5018310546875)]","[(0, 268.9754638671875), (1, 238.4652557373047)]","[(0, 7675.69482421875), (1, 6896.47802734375)]","[(0, 6515.56396484375), (1, 5784.71484375)]","[(0, 13422.3154296875), (1, 8857.4580078125)]","[(0, 16947.166015625), (1, 19051.884765625)]","[(0, 7775.9638671875), (1, 8812.3388671875)]","[(0, 2337.294189453125), (1, 1546.1710205078125)]","[(4, 112.55426580255681), (5, 116.8988037109375), (3, 136.65303955078124), (1, 142.8261385830966), (2, 146.76351318359374), (0, 180.10845947265625)]","[(0, 2110.18115234375), (1, 2415.02392578125)]","[(2, 76.70035494290866), (4, 98.6594989483173), (5, 111.31597900390625), (1, 112.14911760602679), (0, 153.72331746419272), (3, 207.7993829900568)]","[(0, 952.5692138671875), (1, 1202.591552734375)]","[(1, 418.5080159505208), (4, 442.8164469401042), (2, 493.3680308948864), (5, 516.5863813920455), (0, 577.4970259232955), (3, 609.2020152698864)]","[(0, 3421.32470703125), (1, 3259.399658203125)]"
6,"[(0, 824.811279296875), (1, 802.5936889648438)]","[(0, 1530.4874267578125), (1, 2093.5439453125)]","[(0, 5625.9775390625), (1, 4266.447265625)]","[(0, 3067.25927734375), (1, 4104.77490234375)]","[(0, 5679.07470703125), (1, 4510.5224609375)]","[(0, 12156.19140625), (1, 11113.3330078125)]","[(0, 22262.443359375), (1, 27449.23828125)]","[(0, 1323.8231201171875), (1, 995.1396484375)]","[(4, 268.4186604817708), (5, 278.5921519886364), (1, 301.1201985677083), (2, 325.245361328125), (3, 393.18563565340907), (0, 459.1617986505682)]","[(0, 2630.80029296875), (1, 1810.4459228515625)]","[(4, 102.68514578683036), (3, 141.67682354266827), (1, 196.74041748046875), (5, 199.6136678059896), (0, 306.8529163707386), (2, 447.90810546875)]","[(0, 2707.97509765625), (1, 2510.031494140625)]","[(1, 115.27666015625), (3, 129.08797200520834), (0, 143.48358154296875), (4, 149.02871704101562), (5, 162.49931989397322), (2, 186.62956355168268)]","[(0, 15049.29296875), (1, 11202.70703125)]"
7,"[(0, 1063.92724609375), (1, 1122.89599609375)]","[(0, 2272.562744140625), (1, 3737.5830078125)]","[(0, 4719.56396484375), (1, 3837.384521484375)]","[(0, 27683.158203125), (1, 23108.95703125)]","[(0, 8024.58203125), (1, 5486.759765625)]","[(0, 6369.9384765625), (1, 6724.9296875)]","[(0, 17316.67578125), (1, 22809.123046875)]","[(0, 2309.627685546875), (1, 1748.3558349609375)]","[(1, 154.45645141601562), (4, 157.93577357700892), (2, 170.212353515625), (5, 181.93468299278845), (0, 191.47928292410714), (3, 216.8885498046875)]","[(0, 1142.1416015625), (1, 1453.91650390625)]","[(1, 421.83584872159093), (2, 517.4576171875), (0, 659.770068359375), (4, 717.4917436079545), (5, 912.80830078125), (3, 1132.808203125)]","[(0, 1937.0465087890625), (1, 2157.628662109375)]","[(4, 107.79013497488839), (1, 108.02532958984375), (3, 129.5220008263221), (0, 134.38615534855768), (5, 137.52311823918268), (2, 141.9018272986779)]","[(0, 14172.505859375), (1, 12702.03125)]"
8,"[(0, 1647.998291015625), (1, 1894.346923828125)]","[(0, 1571.8284912109375), (1, 2247.5791015625)]","[(0, 14742.0361328125), (1, 13298.2548828125)]","[(0, 10664.26171875), (1, 11945.5478515625)]","[(0, 13748.310546875), (1, 8166.83203125)]","[(0, 9344.4423828125), (1, 9025.4130859375)]","[(0, 9786.4599609375), (1, 8708.1767578125)]","[(0, 754.6406860351562), (1, 1026.43408203125)]","[(5, 49.170145670572914), (4, 55.7769889831543), (2, 60.39791259765625), (3, 66.8), (1, 67.99238586425781), (0, 83.36513671875)]","[(0, 3689.884033203125), (1, 4788.89208984375)]","[(4, 54.49915313720703), (5, 81.73346819196429), (1, 90.27947591145833), (2, 98.94887131911058), (3, 100.06109619140625), (0, 130.31197415865384)]","[(0, 4395.18798828125), (1, 4370.7275390625)]","[(1, 47.10929870605469), (2, 54.33910319010417), (4, 69.39036458333334), (5, 73.72440011160714), (0, 107.08066231863839), (3, 148.36528132512018)]","[(0, 1613.5836181640625), (1, 1583.534912109375)]"
9,"[(0, 1290.15673828125), (1, 1410.255126953125)]","[(0, 810.1746826171875), (1, 901.4157104492188)]","[(0, 5122.3251953125), (1, 5168.96337890625)]","[(0, 25130.267578125), (1, 21712.416015625)]","[(0, 6186.740234375), (1, 3633.931884765625)]","[(0, 4259.91357421875), (1, 3854.373291015625)]","[(0, 12626.5830078125), (1, 13794.44921875)]","[(0, 1431.0098876953125), (1, 1559.094482421875)]","[(1, 100.40916341145834), (4, 101.95611572265625), (2, 103.74417550223214), (5, 109.09857647235577), (0, 194.19056114783655), (3, 236.0107218424479)]","[(0, 1874.6524658203125), (1, 2195.90234375)]","[(4, 73.38298204210069), (3, 75.6336669921875), (0, 101.8722152709961), (5, 114.19792938232422), (1, 123.43248793658088), (2, 150.41394856770833)]","[(0, 3238.63037109375), (1, 2753.784912109375)]","[(1, 65.96572875976562), (2, 84.36934720552884), (4, 99.24230018028847), (5, 133.829345703125), (0, 204.45088704427084), (3, 333.08154296875)]","[(0, 3895.14306640625), (1, 3797.904296875)]"
