,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 835.3392944335938), (1, 967.3029174804688)]","[(0, 717.8273315429688), (1, 874.267578125)]","[(0, 9873.19140625), (1, 11010.0986328125)]","[(0, 4797.5634765625), (1, 4467.8525390625)]","[(0, 14590.8515625), (1, 8308.0048828125)]","[(0, 13151.7509765625), (1, 12776.4814453125)]","[(0, 28634.900390625), (1, 40888.6015625)]","[(0, 1353.0059814453125), (1, 1154.191162109375)]","[(4, 58.98439295151655), (3, 64.56147003173828), (5, 90.14324544270833), (1, 95.73263346354166), (0, 99.67099434988839), (2, 164.28632061298077)]","[(0, 9739.6455078125), (1, 8800.8994140625)]","[(4, 56.945882161458336), (3, 58.350062779017854), (0, 69.31099955240886), (5, 88.36453951322116), (1, 116.82281963641827), (2, 129.95304731889203)]","[(0, 7225.2548828125), (1, 4177.39990234375)]","[(4, 546.7657581676136), (1, 601.4033647017045), (5, 614.602197265625), (2, 675.791064453125), (3, 723.898046875), (0, 808.549951171875)]","[(0, 60517.26953125), (1, 54376.5078125)]"
1,"[(0, 1175.1341552734375), (1, 1301.2803955078125)]","[(0, 1147.954345703125), (1, 1536.9796142578125)]","[(0, 2001.552490234375), (1, 1782.8553466796875)]","[(0, 9376.34765625), (1, 11069.0244140625)]","[(0, 13835.2509765625), (1, 8690.7705078125)]","[(0, 11687.0390625), (1, 11809.26171875)]","[(0, 23792.904296875), (1, 33326.8828125)]","[(0, 1778.2840576171875), (1, 973.6435546875)]","[(4, 245.94078480113637), (3, 274.3489501953125), (5, 279.192041015625), (1, 303.20882901278407), (2, 348.072509765625), (0, 352.8589599609375)]","[(0, 3641.685791015625), (1, 1724.2681884765625)]","[(4, 598.911865234375), (5, 725.3887162642045), (1, 744.1078287760416), (2, 774.5064808238636), (3, 926.7993607954545), (0, 976.8352272727273)]","[(0, 3081.673095703125), (1, 3286.401611328125)]","[(4, 161.93467712402344), (1, 175.67708914620536), (3, 187.3015625), (5, 194.63818359375), (0, 242.77445162259616), (2, 256.2764078776042)]","[(0, 5027.75048828125), (1, 5837.17822265625)]"
2,"[(0, 1125.738037109375), (1, 1275.3680419921875)]","[(0, 774.3233032226562), (1, 931.4844970703125)]","[(0, 5899.74267578125), (1, 5576.90625)]","[(0, 3114.189208984375), (1, 4187.81494140625)]","[(0, 6072.51904296875), (1, 4516.27783203125)]","[(0, 14125.8984375), (1, 14900.8251953125)]","[(0, 8122.98388671875), (1, 7286.3974609375)]","[(0, 1259.1212158203125), (1, 994.7572021484375)]","[(1, 130.2577880859375), (2, 140.97491455078125), (4, 257.6856219951923), (0, 264.12650240384613), (5, 287.84324137369794), (3, 645.3513405539773)]","[(0, 2775.736328125), (1, 2217.325927734375)]","[(4, 227.89986746651786), (3, 297.8034480168269), (1, 364.5584309895833), (5, 371.5275472005208), (0, 566.0917524857955), (2, 676.3255859375)]","[(0, 7325.212890625), (1, 6752.06787109375)]","[(1, 287.23202237215907), (4, 308.3040216619318), (2, 331.41708984375), (5, 364.852392578125), (0, 433.82861328125), (3, 472.50224609375)]","[(0, 7305.53173828125), (1, 7882.84765625)]"
3,"[(0, 1139.57275390625), (1, 1290.57763671875)]","[(0, 500.5758972167969), (1, 555.9915771484375)]","[(0, 49702.87109375), (1, 43362.16015625)]","[(0, 16680.001953125), (1, 26250.48828125)]","[(0, 4671.1455078125), (1, 4209.7138671875)]","[(0, 10661.9736328125), (1, 11616.6220703125)]","[(0, 20360.701171875), (1, 22901.62890625)]","[(0, 7352.75341796875), (1, 4809.6806640625)]","[(1, 362.04933860085225), (4, 393.84579190340907), (0, 476.189453125), (2, 481.413623046875), (3, 499.427001953125), (5, 515.2544921875)]","[(0, 1588.535400390625), (1, 1506.620849609375)]","[(2, 377.851806640625), (0, 412.8787027994792), (1, 438.95838341346155), (4, 473.3971604567308), (5, 510.345458984375), (3, 557.0150553385416)]","[(0, 3778.449951171875), (1, 1997.0401611328125)]","[(4, 555.5726207386364), (1, 558.6232688210227), (5, 594.719970703125), (2, 618.5572265625), (3, 768.444775390625), (0, 776.004345703125)]","[(0, 50373.328125), (1, 46268.7421875)]"
4,"[(0, 1183.9058837890625), (1, 1667.536376953125)]","[(0, 451.9457092285156), (1, 383.7521667480469)]","[(0, 51621.43359375), (1, 32943.328125)]","[(0, 16424.89453125), (1, 20439.8828125)]","[(0, 10691.583984375), (1, 6942.70361328125)]","[(0, 14750.796875), (1, 13466.2548828125)]","[(0, 16079.107421875), (1, 15123.6474609375)]","[(0, 3997.30224609375), (1, 2959.1904296875)]","[(1, 100.76923014322917), (4, 102.46480015345982), (3, 107.75782267252605), (0, 119.09229454627403), (2, 188.28857421875), (5, 195.3803507486979)]","[(0, 6673.71533203125), (1, 8311.78515625)]","[(2, 157.90901066706732), (4, 166.46702223557693), (1, 193.15867396763392), (5, 194.57259114583334), (0, 347.8163248697917), (3, 467.57364169034093)]","[(0, 1001.3556518554688), (1, 743.6558837890625)]","[(4, 98.66413879394531), (1, 101.42938232421875), (3, 160.68197195870536), (0, 166.91526576450892), (5, 190.56405203683036), (2, 196.188232421875)]","[(0, 41617.984375), (1, 37181.09375)]"
5,"[(0, 1532.2750244140625), (1, 1854.5347900390625)]","[(0, 304.0943908691406), (1, 289.0672302246094)]","[(0, 13263.8037109375), (1, 10635.2958984375)]","[(0, 8207.4326171875), (1, 8429.4423828125)]","[(0, 11129.5810546875), (1, 6818.55615234375)]","[(0, 17326.984375), (1, 19302.181640625)]","[(0, 9764.2626953125), (1, 10113.3828125)]","[(0, 3442.244140625), (1, 2864.044189453125)]","[(4, 222.15294300426137), (5, 233.6664306640625), (3, 268.172900390625), (1, 284.90327592329544), (2, 303.9940673828125), (0, 350.181103515625)]","[(0, 2322.491455078125), (1, 2125.451171875)]","[(2, 97.74045973557692), (4, 104.93328387920673), (5, 114.2601318359375), (1, 138.75435965401786), (0, 202.523681640625), (3, 263.1738947088068)]","[(0, 1389.9510498046875), (1, 1620.4837646484375)]","[(4, 388.3147786458333), (1, 427.0290120442708), (5, 471.7350408380682), (2, 526.9796253551136), (3, 551.3926225142045), (0, 605.4922318892045)]","[(0, 6228.15576171875), (1, 6263.36376953125)]"
6,"[(0, 819.0465087890625), (1, 873.67578125)]","[(0, 1607.87841796875), (1, 2303.077392578125)]","[(0, 5984.048828125), (1, 4618.79052734375)]","[(0, 4125.0009765625), (1, 4463.36767578125)]","[(0, 5779.8515625), (1, 3938.626708984375)]","[(0, 11137.8095703125), (1, 10524.6416015625)]","[(0, 33665.49609375), (1, 36734.64453125)]","[(0, 1304.5650634765625), (1, 1442.9378662109375)]","[(1, 305.16640218098956), (2, 308.57814719460225), (5, 325.8986150568182), (4, 326.15325927734375), (0, 406.59548117897725), (3, 424.28085049715907)]","[(0, 2737.16259765625), (1, 2143.253173828125)]","[(4, 155.34699358258928), (3, 213.41802509014423), (1, 251.05487060546875), (5, 269.8637288411458), (0, 379.64089133522725), (2, 527.540283203125)]","[(0, 4251.66650390625), (1, 2923.837890625)]","[(1, 128.18507486979166), (3, 132.20044759114583), (0, 135.72599574497767), (4, 154.3603057861328), (5, 169.27884347098214), (2, 183.9273963341346)]","[(0, 59228.53125), (1, 56168.7734375)]"
7,"[(0, 1210.415771484375), (1, 1377.70751953125)]","[(0, 2514.259033203125), (1, 4231.31201171875)]","[(0, 6155.78271484375), (1, 4749.7353515625)]","[(0, 26030.3125), (1, 24038.634765625)]","[(0, 8120.892578125), (1, 5250.98876953125)]","[(0, 6354.47265625), (1, 6993.2197265625)]","[(0, 26517.525390625), (1, 25730.3125)]","[(0, 2676.88818359375), (1, 1686.7335205078125)]","[(2, 152.83157552083333), (1, 161.7470703125), (5, 204.7071814903846), (4, 220.86577497209822), (0, 242.25156947544642), (3, 364.4447835286458)]","[(0, 1801.6162109375), (1, 1934.7210693359375)]","[(1, 673.0672052556819), (4, 823.9076704545455), (2, 824.7126953125), (0, 843.8693359375), (5, 1034.22705078125), (3, 1047.7173828125)]","[(0, 1797.6636962890625), (1, 2241.943603515625)]","[(1, 137.37220110212053), (4, 139.08856201171875), (5, 164.25758713942307), (2, 164.50779371995193), (0, 197.06877253605768), (3, 204.23674128605768)]","[(0, 41340.015625), (1, 39793.5546875)]"
8,"[(0, 1746.6142578125), (1, 2160.26708984375)]","[(0, 1551.07421875), (1, 2137.55615234375)]","[(0, 21669.5546875), (1, 22171.166015625)]","[(0, 12261.982421875), (1, 15367.099609375)]","[(0, 16335.431640625), (1, 8824.78515625)]","[(0, 9719.6025390625), (1, 8873.0302734375)]","[(0, 10828.099609375), (1, 9824.7626953125)]","[(0, 898.6852416992188), (1, 868.2705688476562)]","[(5, 71.6301025390625), (4, 78.2518081665039), (2, 85.0574951171875), (1, 93.17119598388672), (3, 99.75336100260417), (0, 121.7772705078125)]","[(0, 4680.2333984375), (1, 4606.51708984375)]","[(4, 68.91552734375), (5, 92.82461983816964), (1, 100.154248046875), (2, 108.08384352463942), (3, 147.14181082589286), (0, 179.59947791466345)]","[(0, 5984.9736328125), (1, 5359.6484375)]","[(1, 64.67874145507812), (2, 73.17754720052083), (4, 98.3481689453125), (5, 107.31195940290179), (0, 138.0343279157366), (3, 209.65681340144232)]","[(0, 2761.80126953125), (1, 2947.67626953125)]"
9,"[(0, 1176.276123046875), (1, 1398.1025390625)]","[(0, 737.4255981445312), (1, 912.0247802734375)]","[(0, 7348.07080078125), (1, 8036.72900390625)]","[(0, 46225.25390625), (1, 40170.234375)]","[(0, 5189.4267578125), (1, 3184.891845703125)]","[(0, 5954.0546875), (1, 5615.455078125)]","[(0, 17947.705078125), (1, 18890.359375)]","[(0, 2041.5579833984375), (1, 1640.7735595703125)]","[(2, 88.88943045479911), (1, 93.13744303385417), (5, 119.60836087740384), (4, 119.9805908203125), (0, 179.94829852764423), (3, 268.5200602213542)]","[(0, 2478.116943359375), (1, 3010.59619140625)]","[(4, 75.34030490451389), (3, 89.2085822610294), (0, 118.89981079101562), (1, 129.90533088235293), (5, 133.081298828125), (2, 203.662841796875)]","[(0, 3348.33203125), (1, 3242.901611328125)]","[(1, 67.50054059709821), (2, 89.6859130859375), (4, 111.0313720703125), (5, 146.47978719075522), (0, 190.2674560546875), (3, 352.3737127130682)]","[(0, 9615.650390625), (1, 10920.625)]"
