,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 836.385986328125), (1, 908.2944946289062)]","[(0, 782.4065551757812), (1, 909.2357177734375)]","[(0, 6989.56640625), (1, 5398.74462890625)]","[(0, 3312.19287109375), (1, 3103.391357421875)]","[(0, 14217.015625), (1, 6713.24169921875)]","[(0, 8484.576171875), (1, 9695.9580078125)]","[(0, 30843.9140625), (1, 41832.02734375)]","[(0, 2013.7640380859375), (1, 999.0563354492188)]","[(4, 63.63559139476103), (3, 75.7908935546875), (1, 104.6895751953125), (5, 109.091748046875), (0, 138.49339076450892), (2, 230.54268704927884)]","[(0, 12135.931640625), (1, 14130.3583984375)]","[(4, 55.56157633463542), (3, 61.888663155691965), (0, 86.233642578125), (5, 92.67946213942308), (2, 119.86562278053977), (1, 150.37114070012018)]","[(0, 6544.228515625), (1, 3744.20458984375)]","[(4, 567.4906782670455), (1, 620.3708718039773), (5, 713.232568359375), (2, 832.81943359375), (3, 856.6728515625), (0, 980.4853515625)]","[(0, 36596.8046875), (1, 24814.169921875)]"
1,"[(0, 1321.5029296875), (1, 1394.232666015625)]","[(0, 1367.3680419921875), (1, 1724.2073974609375)]","[(0, 1762.279296875), (1, 1491.324951171875)]","[(0, 4946.46142578125), (1, 5005.7763671875)]","[(0, 8988.9482421875), (1, 4884.5322265625)]","[(0, 8863.5419921875), (1, 7670.58740234375)]","[(0, 21516.05859375), (1, 29567.3203125)]","[(0, 2407.240234375), (1, 1127.81787109375)]","[(5, 337.949853515625), (4, 348.34614701704544), (2, 436.842724609375), (1, 439.431640625), (3, 536.25888671875), (0, 715.994091796875)]","[(0, 3352.095703125), (1, 2679.819091796875)]","[(4, 829.7490234375), (5, 972.4016335227273), (1, 1018.491943359375), (3, 1020.5658735795455), (2, 1077.4740767045455), (0, 1107.1833274147727)]","[(0, 2201.925048828125), (1, 3400.642333984375)]","[(4, 137.76174926757812), (3, 165.585400390625), (1, 193.45649065290178), (5, 214.36546107700892), (0, 280.7158954326923), (2, 326.46352132161456)]","[(0, 4810.8779296875), (1, 3659.75537109375)]"
2,"[(0, 1225.350830078125), (1, 1286.8414306640625)]","[(0, 891.425537109375), (1, 1048.9134521484375)]","[(0, 3641.970703125), (1, 3372.0390625)]","[(0, 3642.676025390625), (1, 4577.29052734375)]","[(0, 4421.92724609375), (1, 3617.94921875)]","[(0, 10853.89453125), (1, 11715.6396484375)]","[(0, 8279.025390625), (1, 6876.80126953125)]","[(0, 971.869873046875), (1, 968.2619018554688)]","[(1, 137.64820963541666), (2, 161.0855712890625), (4, 269.78089317908655), (5, 310.80918375651044), (0, 316.6155348557692), (3, 765.3145419034091)]","[(0, 3410.583984375), (1, 3057.592041015625)]","[(4, 196.61160714285714), (3, 238.89094426081732), (5, 307.57773844401044), (1, 391.2764485677083), (0, 548.4102450284091), (2, 722.782568359375)]","[(0, 8643.466796875), (1, 5956.82080078125)]","[(1, 194.92744584517047), (2, 207.7801513671875), (4, 227.4337491122159), (5, 245.240234375), (0, 394.7904052734375), (3, 495.024609375)]","[(0, 5016.8828125), (1, 4020.225341796875)]"
3,"[(0, 1241.8206787109375), (1, 1371.4609375)]","[(0, 633.4879760742188), (1, 696.8414306640625)]","[(0, 37421.10546875), (1, 26960.275390625)]","[(0, 8225.5888671875), (1, 12746.044921875)]","[(0, 4124.67431640625), (1, 3602.74462890625)]","[(0, 9206.1357421875), (1, 10772.1826171875)]","[(0, 15301.919921875), (1, 18189.443359375)]","[(0, 10898.630859375), (1, 5218.3798828125)]","[(1, 377.72824928977275), (4, 392.8868963068182), (2, 457.681494140625), (0, 484.42978515625), (5, 488.962109375), (3, 506.60244140625)]","[(0, 1570.91748046875), (1, 2568.89013671875)]","[(2, 405.3913167317708), (5, 527.1485188802084), (1, 536.1755934495193), (4, 550.6911433293269), (0, 551.518310546875), (3, 683.11181640625)]","[(0, 4515.70068359375), (1, 1493.25341796875)]","[(4, 391.6187855113636), (1, 428.2080078125), (5, 471.979345703125), (2, 505.218212890625), (3, 653.789111328125), (0, 706.515576171875)]","[(0, 34357.62109375), (1, 18616.51171875)]"
4,"[(0, 1153.804931640625), (1, 1641.1876220703125)]","[(0, 420.0362243652344), (1, 342.42034912109375)]","[(0, 32313.91015625), (1, 26055.173828125)]","[(0, 8861.0654296875), (1, 12435.7939453125)]","[(0, 11626.541015625), (1, 7361.46728515625)]","[(0, 9886.5234375), (1, 8290.5927734375)]","[(0, 14289.0712890625), (1, 12832.26171875)]","[(0, 3617.42138671875), (1, 2362.57861328125)]","[(1, 89.82423502604166), (4, 99.26077706473214), (0, 128.33187161959134), (3, 146.38790893554688), (2, 197.44416691706732), (5, 247.9238484700521)]","[(0, 10648.408203125), (1, 8946.31640625)]","[(2, 198.65153620793268), (1, 222.99452427455358), (4, 241.23529522235577), (5, 261.0779215494792), (0, 512.6767578125), (3, 660.7259410511364)]","[(0, 648.7927856445312), (1, 688.3900756835938)]","[(1, 108.57693481445312), (4, 108.88765716552734), (3, 175.70549665178572), (0, 176.34364536830358), (2, 214.28533063616072), (5, 216.27350725446428)]","[(0, 21751.7109375), (1, 14245.177734375)]"
5,"[(0, 1760.82958984375), (1, 2279.9130859375)]","[(0, 296.8196716308594), (1, 253.3868408203125)]","[(0, 9002.048828125), (1, 6473.98486328125)]","[(0, 6185.41259765625), (1, 6847.8095703125)]","[(0, 9862.078125), (1, 6392.7109375)]","[(0, 13977.79296875), (1, 16124.9609375)]","[(0, 14125.92578125), (1, 15713.6923828125)]","[(0, 3800.251953125), (1, 3514.75927734375)]","[(5, 217.7293212890625), (4, 224.33347389914772), (2, 240.9814208984375), (1, 248.31724964488637), (3, 293.7063720703125), (0, 327.9842041015625)]","[(0, 3049.211669921875), (1, 1981.743896484375)]","[(2, 125.25342735877403), (4, 154.07499812199518), (5, 167.65977986653647), (1, 178.74131556919642), (0, 219.95062255859375), (3, 345.6016734730114)]","[(0, 2013.7467041015625), (1, 2172.74853515625)]","[(4, 420.4999186197917), (1, 463.6505533854167), (5, 477.3849431818182), (2, 518.4791370738636), (3, 634.0102095170455), (0, 701.1531871448864)]","[(0, 4734.29638671875), (1, 4017.921875)]"
6,"[(0, 1094.213134765625), (1, 1163.7579345703125)]","[(0, 1728.1756591796875), (1, 2377.557373046875)]","[(0, 6094.8271484375), (1, 4602.380859375)]","[(0, 3294.202392578125), (1, 4789.572265625)]","[(0, 5800.1494140625), (1, 3702.718994140625)]","[(0, 12027.8662109375), (1, 10607.0556640625)]","[(0, 18130.005859375), (1, 22713.09375)]","[(0, 2186.39453125), (1, 1660.8572998046875)]","[(4, 338.67999267578125), (5, 384.9326171875), (1, 413.667724609375), (2, 472.0496271306818), (3, 585.0219282670455), (0, 714.3469460227273)]","[(0, 2748.68798828125), (1, 1954.0289306640625)]","[(4, 190.43097795758928), (3, 263.5000187800481), (1, 306.44903564453125), (5, 334.4221598307292), (0, 495.2645152698864), (2, 657.5609375)]","[(0, 3787.7724609375), (1, 2270.80029296875)]","[(3, 112.5654296875), (1, 157.66394856770833), (4, 159.48736572265625), (5, 169.05789620535714), (0, 179.64114815848214), (2, 274.1386155348558)]","[(0, 50666.6953125), (1, 28203.59765625)]"
7,"[(0, 999.2107543945312), (1, 1179.6947021484375)]","[(0, 3302.645263671875), (1, 5240.34814453125)]","[(0, 3719.24267578125), (1, 2988.147705078125)]","[(0, 15456.56640625), (1, 23230.927734375)]","[(0, 6770.98046875), (1, 4141.47314453125)]","[(0, 5286.04931640625), (1, 5732.83251953125)]","[(0, 16532.75), (1, 18792.591796875)]","[(0, 2916.43017578125), (1, 2955.36767578125)]","[(1, 134.49435424804688), (2, 136.998779296875), (0, 203.490966796875), (4, 212.95685686383928), (5, 216.79249924879807), (3, 347.9732666015625)]","[(0, 2012.4365234375), (1, 2624.2529296875)]","[(1, 902.0061257102273), (2, 1096.02939453125), (4, 1147.7278053977273), (0, 1417.0154296875), (5, 1421.87236328125), (3, 1811.5609375)]","[(0, 3004.36669921875), (1, 3589.705078125)]","[(1, 116.8389892578125), (4, 123.61594063895089), (2, 139.17119891826923), (5, 146.08103590745193), (0, 180.66319861778845), (3, 193.32570237379807)]","[(0, 35543.1015625), (1, 24398.3125)]"
8,"[(0, 1892.7288818359375), (1, 2455.375732421875)]","[(0, 1764.73388671875), (1, 2526.194580078125)]","[(0, 12982.98046875), (1, 15958.8935546875)]","[(0, 8676.8330078125), (1, 9422.3681640625)]","[(0, 10919.615234375), (1, 5057.1474609375)]","[(0, 9203.0986328125), (1, 8372.5830078125)]","[(0, 12837.623046875), (1, 11555.828125)]","[(0, 965.2239990234375), (1, 999.86279296875)]","[(2, 67.05252685546876), (5, 75.47122395833334), (1, 75.92752075195312), (4, 85.01698303222656), (0, 103.26752115885417), (3, 106.1423095703125)]","[(0, 4039.113525390625), (1, 5955.24755859375)]","[(4, 59.88284683227539), (5, 87.02069091796875), (2, 101.47715407151442), (1, 104.98232421875), (3, 136.2251238141741), (0, 172.19989483173077)]","[(0, 4834.08935546875), (1, 3479.63671875)]","[(1, 68.92124938964844), (2, 71.84859212239583), (5, 75.43289620535714), (4, 92.62386881510416), (0, 178.44428362165178), (3, 213.98264723557693)]","[(0, 1565.7752685546875), (1, 1276.51904296875)]"
9,"[(0, 1596.072021484375), (1, 2027.936767578125)]","[(0, 854.3544921875), (1, 1029.1168212890625)]","[(0, 5061.06982421875), (1, 4083.316650390625)]","[(0, 18937.203125), (1, 20258.822265625)]","[(0, 3799.411376953125), (1, 2366.406494140625)]","[(0, 5566.24755859375), (1, 5284.6982421875)]","[(0, 18215.966796875), (1, 19225.736328125)]","[(0, 2066.517822265625), (1, 1589.5606689453125)]","[(2, 84.83814348493304), (1, 91.07661946614583), (5, 99.4388427734375), (4, 106.57020786830357), (0, 238.82078200120193), (3, 306.974365234375)]","[(0, 2181.08203125), (1, 4353.75830078125)]","[(4, 64.20969645182292), (3, 71.45403693704044), (0, 102.55290222167969), (5, 119.24496459960938), (1, 132.56182502297793), (2, 182.58499348958333)]","[(0, 3157.63037109375), (1, 3265.721923828125)]","[(1, 76.72651890345982), (2, 98.4759521484375), (4, 106.37220177283653), (5, 150.97016398111978), (0, 257.1783854166667), (3, 397.94406960227275)]","[(0, 5603.99609375), (1, 4267.72119140625)]"
