,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 1489.5262451171875), (1, 1253.77587890625)]","[(0, 3788.704833984375), (1, 3286.37646484375)]","[(0, 2961.597412109375), (1, 2390.485107421875)]","[(0, 3852.257080078125), (1, 2655.5703125)]","[(0, 1347.6802978515625), (1, 1063.3880615234375)]","[(0, 1826.699951171875), (1, 982.0546875)]","[(0, 21806.919921875), (1, 17784.478515625)]","[(0, 4944.673828125), (1, 1942.8519287109375)]","[(0, 13577.8408203125), (1, 6879.72021484375)]","[(0, 138858.859375), (1, 104014.65625)]","[(0, 4983.08935546875), (1, 6728.630859375)]","[(0, 8419.697265625), (1, 3168.855712890625)]","[(0, 14799.8896484375), (1, 12327.4091796875)]","[(0, 2576.633544921875), (1, 2875.63916015625)]","[(0, 4818.279296875), (1, 2637.5732421875)]","[(0, 3481.282958984375), (1, 3582.923095703125)]","[(0, 3181.0791015625), (1, 2593.948974609375)]","[(0, 4576.849609375), (1, 3402.744384765625)]","[(0, 1394.6900634765625), (1, 2035.15380859375)]","[(0, 1783.1341552734375), (1, 1444.205078125)]","[(0, 8579.220703125), (1, 8836.5576171875)]","[(0, 2172.563232421875), (1, 1766.847412109375)]","[(0, 1274.43359375), (1, 1011.3507690429688)]"
1,"[(0, 3062.31982421875), (1, 3368.97900390625)]","[(0, 3093.271240234375), (1, 2472.443115234375)]","[(0, 2864.652099609375), (1, 2281.175537109375)]","[(0, 2261.717529296875), (1, 1545.6572265625)]","[(0, 985.1286010742188), (1, 765.3966064453125)]","[(0, 1620.9737548828125), (1, 887.62548828125)]","[(0, 5739.74169921875), (1, 6834.51953125)]","[(0, 4146.0966796875), (1, 3291.31005859375)]","[(0, 5449.9052734375), (1, 2392.45654296875)]","[(0, 58197.28125), (1, 45546.109375)]","[(0, 9990.9365234375), (1, 12131.3037109375)]","[(0, 6444.0791015625), (1, 1604.95068359375)]","[(0, 11307.919921875), (1, 12715.630859375)]","[(0, 2780.467041015625), (1, 3960.808837890625)]","[(0, 5976.93701171875), (1, 3461.96435546875)]","[(0, 1960.2799072265625), (1, 2509.072998046875)]","[(0, 1843.720458984375), (1, 1588.0758056640625)]","[(0, 3061.309326171875), (1, 3861.791015625)]","[(0, 15913.0419921875), (1, 19944.033203125)]","[(0, 2237.23388671875), (1, 2085.3193359375)]","[(0, 2324.0556640625), (1, 2438.728271484375)]","[(0, 3155.035888671875), (1, 2623.555908203125)]","[(0, 5260.79296875), (1, 4212.99951171875)]"
2,"[(0, 1503.75341796875), (1, 1778.3892822265625)]","[(0, 2999.0107421875), (1, 2369.388671875)]","[(0, 3183.607177734375), (1, 2523.12109375)]","[(0, 2503.8095703125), (1, 1780.5394287109375)]","[(0, 918.8079833984375), (1, 671.007568359375)]","[(0, 1098.2213134765625), (1, 589.168212890625)]","[(0, 3397.255126953125), (1, 2587.715087890625)]","[(0, 4067.199462890625), (1, 3743.554443359375)]","[(0, 10050.146484375), (1, 2901.97802734375)]","[(0, 76923.921875), (1, 87813.5234375)]","[(0, 5631.7802734375), (1, 5796.49951171875)]","[(0, 6408.8505859375), (1, 2331.111083984375)]","[(0, 8321.841796875), (1, 8725.8671875)]","[(0, 2425.159423828125), (1, 1923.8592529296875)]","[(0, 6204.53076171875), (1, 3682.926513671875)]","[(0, 3251.684326171875), (1, 2113.72998046875)]","[(0, 7605.9091796875), (1, 7572.26953125)]","[(0, 2417.59912109375), (1, 1638.4149169921875)]","[(0, 1945.1749267578125), (1, 2169.44921875)]","[(0, 5033.98779296875), (1, 7417.20263671875)]","[(0, 4031.167236328125), (1, 4314.10888671875)]","[(0, 2924.887939453125), (1, 2511.5078125)]","[(0, 1504.680908203125), (1, 1656.2188720703125)]"
3,"[(0, 2701.776611328125), (1, 2348.623779296875)]","[(0, 2403.454345703125), (1, 1788.344482421875)]","[(0, 3065.896484375), (1, 2407.247314453125)]","[(0, 2535.34423828125), (1, 1815.2989501953125)]","[(0, 4686.69189453125), (1, 3645.49072265625)]","[(0, 4804.8896484375), (1, 2168.95166015625)]","[(0, 2001.778564453125), (1, 2485.355712890625)]","[(0, 4721.63916015625), (1, 2276.23828125)]","[(0, 10137.0595703125), (1, 2252.079345703125)]","[(0, 65906.671875), (1, 65612.734375)]","[(0, 10658.619140625), (1, 9871.1572265625)]","[(0, 8834.4853515625), (1, 2533.3671875)]","[(0, 6599.5322265625), (1, 7144.87255859375)]","[(0, 2355.869384765625), (1, 2209.4873046875)]","[(0, 7726.421875), (1, 4745.96826171875)]","[(0, 1613.509033203125), (1, 2033.25830078125)]","[(0, 4563.28662109375), (1, 4762.1943359375)]","[(0, 2933.88916015625), (1, 3108.1005859375)]","[(0, 7641.41162109375), (1, 5469.58154296875)]","[(0, 4229.98486328125), (1, 27725.0625)]","[(0, 2898.344970703125), (1, 2874.694580078125)]","[(0, 2802.289306640625), (1, 2354.085205078125)]","[(0, 2120.157958984375), (1, 2835.083740234375)]"
4,"[(0, 1806.810791015625), (1, 1528.892333984375)]","[(0, 3709.3564453125), (1, 4372.203125)]","[(0, 2625.390380859375), (1, 3394.589599609375)]","[(0, 2502.76513671875), (1, 1790.435791015625)]","[(0, 3395.444580078125), (1, 2635.05517578125)]","[(0, 1107.0338134765625), (1, 642.5040283203125)]","[(0, 10863.462890625), (1, 8414.5595703125)]","[(0, 5411.75537109375), (1, 3531.44775390625)]","[(0, 8577.4462890625), (1, 3153.691162109375)]","[(0, 22017.287109375), (1, 14172.357421875)]","[(0, 5139.44677734375), (1, 5092.7197265625)]","[(0, 8150.03369140625), (1, 2950.541015625)]","[(0, 4876.97265625), (1, 4711.0966796875)]","[(0, 1785.42626953125), (1, 2293.345947265625)]","[(0, 5062.18994140625), (1, 5132.4033203125)]","[(0, 5702.927734375), (1, 4141.5126953125)]","[(0, 4301.60302734375), (1, 4010.62890625)]","[(0, 1955.11279296875), (1, 1756.46142578125)]","[(0, 1786.5947265625), (1, 1855.9149169921875)]","[(0, 5856.169921875), (1, 7030.01806640625)]","[(0, 1875.1961669921875), (1, 1898.8397216796875)]","[(0, 2299.469482421875), (1, 1779.380859375)]","[(0, 3107.7421875), (1, 4472.298828125)]"
5,"[(0, 2370.59765625), (1, 2581.360595703125)]","[(0, 2916.21728515625), (1, 3754.92822265625)]","[(0, 2338.912841796875), (1, 3077.38818359375)]","[(0, 3514.13916015625), (1, 2447.68505859375)]","[(0, 3223.925048828125), (1, 2163.41845703125)]","[(0, 1813.7484130859375), (1, 959.5808715820312)]","[(0, 5097.45263671875), (1, 5497.77490234375)]","[(0, 7744.67333984375), (1, 4498.228515625)]","[(0, 10982.7587890625), (1, 3317.336181640625)]","[(0, 74798.7265625), (1, 65522.50390625)]","[(0, 7403.86669921875), (1, 7570.3056640625)]","[(0, 6599.69580078125), (1, 2528.835205078125)]","[(0, 5538.91845703125), (1, 5493.99560546875)]","[(0, 3170.294189453125), (1, 3879.49462890625)]","[(0, 5097.904296875), (1, 5698.6767578125)]","[(0, 1868.281005859375), (1, 1770.30078125)]","[(0, 2653.77392578125), (1, 2382.24072265625)]","[(0, 2833.480712890625), (1, 2528.49755859375)]","[(0, 18110.33984375), (1, 18724.716796875)]","[(0, 4773.0478515625), (1, 26340.365234375)]","[(0, 1286.25244140625), (1, 1275.1612548828125)]","[(0, 3018.286376953125), (1, 2342.84521484375)]","[(0, 877.353759765625), (1, 905.4085693359375)]"
6,"[(0, 1147.95166015625), (1, 1360.9140625)]","[(0, 4577.0986328125), (1, 5160.0927734375)]","[(0, 3324.088134765625), (1, 4214.5185546875)]","[(0, 1979.4007568359375), (1, 1353.014892578125)]","[(0, 1020.3726806640625), (1, 1265.896240234375)]","[(0, 1451.3072509765625), (1, 758.078857421875)]","[(0, 5114.4609375), (1, 4995.67041015625)]","[(0, 9540.34765625), (1, 2936.157958984375)]","[(0, 9303.255859375), (1, 2930.927734375)]","[(0, 63920.86328125), (1, 126366.2421875)]","[(0, 4019.558349609375), (1, 4234.08935546875)]","[(0, 17205.85546875), (1, 6175.33984375)]","[(0, 4109.69482421875), (1, 5466.4736328125)]","[(0, 4973.08203125), (1, 6293.68505859375)]","[(0, 8183.7119140625), (1, 5739.27099609375)]","[(0, 7495.2783203125), (1, 6468.0478515625)]","[(0, 5146.95068359375), (1, 5196.9599609375)]","[(0, 3799.904052734375), (1, 3879.38330078125)]","[(0, 4523.7998046875), (1, 3175.753173828125)]","[(0, 5338.99267578125), (1, 7350.580078125)]","[(0, 3396.99267578125), (1, 3544.948486328125)]","[(0, 3047.73486328125), (1, 2130.082763671875)]","[(0, 2411.22119140625), (1, 2062.52587890625)]"
7,"[(0, 3118.998291015625), (1, 2712.29248046875)]","[(0, 3607.81591796875), (1, 4447.85009765625)]","[(0, 3034.7353515625), (1, 3891.567138671875)]","[(0, 3015.958740234375), (1, 4213.19189453125)]","[(0, 697.9697875976562), (1, 863.6034545898438)]","[(0, 2205.238037109375), (1, 1299.7777099609375)]","[(0, 3109.820556640625), (1, 3325.3310546875)]","[(0, 10845.2861328125), (1, 1986.53125)]","[(0, 11402.892578125), (1, 1752.2159423828125)]","[(0, 39071.43359375), (1, 36926.3515625)]","[(0, 5522.5146484375), (1, 5909.63623046875)]","[(0, 6285.04248046875), (1, 2422.8720703125)]","[(0, 3474.24853515625), (1, 4933.529296875)]","[(0, 9387.21875), (1, 9778.3056640625)]","[(0, 6050.4541015625), (1, 4463.669921875)]","[(0, 4791.31298828125), (1, 6041.015625)]","[(0, 3094.911865234375), (1, 3234.522216796875)]","[(0, 2418.56884765625), (1, 3539.41162109375)]","[(0, 5113.32470703125), (1, 3381.13623046875)]","[(0, 7501.44970703125), (1, 24207.357421875)]","[(0, 2413.934814453125), (1, 2246.94677734375)]","[(0, 2736.109619140625), (1, 1995.7388916015625)]","[(0, 4277.443359375), (1, 6203.95703125)]"
8,"[(0, 1851.1722412109375), (1, 2020.80712890625)]","[(0, 4843.46630859375), (1, 5978.11083984375)]","[(0, 4327.70751953125), (1, 3463.995361328125)]","[(0, 1685.5870361328125), (1, 2389.052734375)]","[(0, 630.3292846679688), (1, 845.7500610351562)]","[(0, 2206.3310546875), (1, 1305.8023681640625)]","[(0, 3544.610107421875), (1, 3153.221923828125)]","[(0, 9829.7392578125), (1, 4771.509765625)]","[(0, 7605.4453125), (1, 2693.594970703125)]","[(0, 5629.42822265625), (1, 4925.095703125)]","[(0, 1887.3538818359375), (1, 2233.546875)]","[(0, 6317.4384765625), (1, 2481.622802734375)]","[(0, 13475.287109375), (1, 15803.970703125)]","[(0, 2013.9166259765625), (1, 2368.6123046875)]","[(0, 6145.87548828125), (1, 4250.3486328125)]","[(0, 7867.33935546875), (1, 7464.7470703125)]","[(0, 2855.838623046875), (1, 2856.519775390625)]","[(0, 1913.1724853515625), (1, 1920.95068359375)]","[(0, 1622.30224609375), (1, 2262.551513671875)]","[(0, 3304.169921875), (1, 4185.3671875)]","[(0, 2251.74755859375), (1, 2376.222412109375)]","[(0, 1783.69287109375), (1, 2031.4073486328125)]","[(0, 1194.2655029296875), (1, 1384.3460693359375)]"
9,"[(0, 4276.6884765625), (1, 3684.99951171875)]","[(0, 4062.9970703125), (1, 4678.48828125)]","[(0, 5841.78955078125), (1, 4728.12353515625)]","[(0, 1894.9566650390625), (1, 2572.490234375)]","[(0, 3134.5400390625), (1, 3975.954345703125)]","[(0, 1769.2880859375), (1, 948.0401611328125)]","[(0, 3272.371826171875), (1, 3806.755615234375)]","[(0, 8601.33203125), (1, 3685.0205078125)]","[(0, 6234.17529296875), (1, 2992.35693359375)]","[(0, 22701.76953125), (1, 23140.603515625)]","[(0, 1825.678466796875), (1, 1975.053466796875)]","[(0, 5621.77783203125), (1, 2067.212646484375)]","[(0, 15282.9609375), (1, 17668.13671875)]","[(0, 3265.67529296875), (1, 3562.116455078125)]","[(0, 7497.5234375), (1, 5439.61865234375)]","[(0, 5667.875), (1, 5782.88916015625)]","[(0, 1759.501708984375), (1, 1757.6444091796875)]","[(0, 2681.13427734375), (1, 3048.48193359375)]","[(0, 3116.366943359375), (1, 2623.39697265625)]","[(0, 2430.966796875), (1, 4618.80810546875)]","[(0, 1528.1466064453125), (1, 1468.5311279296875)]","[(0, 2444.30615234375), (1, 2827.4248046875)]","[(0, 2623.504638671875), (1, 2065.437255859375)]"
