,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 1242.5267333984375), (1, 1084.0662841796875)]","[(0, 5798.19677734375), (1, 4570.8173828125)]","[(0, 2158.053466796875), (1, 1721.19921875)]","[(0, 2165.818115234375), (1, 2252.745361328125)]","[(0, 1605.9444580078125), (1, 1163.7095947265625)]","[(0, 3071.281005859375), (1, 1364.0325927734375)]","[(0, 30499.865234375), (1, 19944.623046875)]","[(0, 3761.52294921875), (1, 1229.598876953125)]","[(0, 13279.4853515625), (1, 4661.9111328125)]","[(0, 87937.8046875), (1, 66775.0703125)]","[(0, 5533.111328125), (1, 7904.86767578125)]","[(0, 7827.263671875), (1, 3222.36669921875)]","[(0, 8943.07421875), (1, 9361.2919921875)]","[(0, 4357.1396484375), (1, 3961.9345703125)]","[(0, 4625.248046875), (1, 3095.345703125)]","[(0, 4826.32275390625), (1, 4173.5888671875)]","[(0, 3382.187255859375), (1, 2573.29736328125)]","[(0, 4182.7978515625), (1, 3454.026611328125)]","[(0, 2558.194091796875), (1, 3730.962646484375)]","[(0, 1773.2669677734375), (1, 1562.54345703125)]","[(0, 17377.60546875), (1, 14240.7763671875)]","[(0, 3653.36328125), (1, 3522.826416015625)]","[(0, 2826.177978515625), (1, 2346.0908203125)]"
1,"[(0, 3486.47900390625), (1, 2854.005126953125)]","[(0, 3798.14697265625), (1, 3101.725341796875)]","[(0, 2347.671875), (1, 1962.196044921875)]","[(0, 1925.51953125), (1, 2022.361083984375)]","[(0, 1560.5040283203125), (1, 972.3394165039062)]","[(0, 2598.7451171875), (1, 1165.0321044921875)]","[(0, 3681.343017578125), (1, 5201.3974609375)]","[(0, 7445.94140625), (1, 2040.885498046875)]","[(0, 4968.564453125), (1, 1600.13427734375)]","[(0, 73789.1640625), (1, 79196.5390625)]","[(0, 10661.5673828125), (1, 13817.3720703125)]","[(0, 4699.779296875), (1, 1581.1461181640625)]","[(0, 10305.2421875), (1, 11740.68359375)]","[(0, 4031.5400390625), (1, 3705.933349609375)]","[(0, 6524.75439453125), (1, 4166.15673828125)]","[(0, 3084.886962890625), (1, 3942.693115234375)]","[(0, 2376.925048828125), (1, 1928.5362548828125)]","[(0, 3833.32080078125), (1, 5337.74560546875)]","[(0, 13454.1240234375), (1, 10009.513671875)]","[(0, 1610.23779296875), (1, 2641.687744140625)]","[(0, 5322.51123046875), (1, 4161.6728515625)]","[(0, 4825.43017578125), (1, 4972.626953125)]","[(0, 6644.26220703125), (1, 5805.24560546875)]"
2,"[(0, 1770.5228271484375), (1, 1512.19873046875)]","[(0, 6400.3662109375), (1, 4682.7333984375)]","[(0, 2460.9501953125), (1, 1966.896728515625)]","[(0, 2012.1629638671875), (1, 2114.50732421875)]","[(0, 971.038330078125), (1, 715.762939453125)]","[(0, 2521.89892578125), (1, 1107.4588623046875)]","[(0, 5096.052734375), (1, 3630.229248046875)]","[(0, 5542.82373046875), (1, 2940.076416015625)]","[(0, 8393.064453125), (1, 3120.229736328125)]","[(0, 77836.84375), (1, 70817.5390625)]","[(0, 5608.10693359375), (1, 5026.5283203125)]","[(0, 8028.76220703125), (1, 2799.484375)]","[(0, 10146.88671875), (1, 9812.7958984375)]","[(0, 3074.402099609375), (1, 3229.63671875)]","[(0, 8992.55859375), (1, 5053.94580078125)]","[(0, 7186.8125), (1, 5531.11669921875)]","[(0, 5928.52978515625), (1, 7317.95068359375)]","[(0, 3271.3203125), (1, 2421.588623046875)]","[(0, 4913.97216796875), (1, 5339.03857421875)]","[(0, 8737.9580078125), (1, 6450.30126953125)]","[(0, 5355.5869140625), (1, 4528.5087890625)]","[(0, 2874.487548828125), (1, 2739.1865234375)]","[(0, 3115.427978515625), (1, 3540.606689453125)]"
3,"[(0, 2136.16552734375), (1, 1893.55224609375)]","[(0, 4292.935546875), (1, 3213.5498046875)]","[(0, 2688.91748046875), (1, 2225.130859375)]","[(0, 1982.628662109375), (1, 2187.12744140625)]","[(0, 4562.64697265625), (1, 3355.313232421875)]","[(0, 6183.3837890625), (1, 2620.400146484375)]","[(0, 6082.53466796875), (1, 7164.1552734375)]","[(0, 7239.125), (1, 2726.116943359375)]","[(0, 10419.95703125), (1, 2440.905029296875)]","[(0, 85241.5078125), (1, 91467.4453125)]","[(0, 9584.0927734375), (1, 9585.79296875)]","[(0, 7176.42236328125), (1, 3531.232177734375)]","[(0, 11215.2021484375), (1, 10913.16015625)]","[(0, 3425.07568359375), (1, 3043.412841796875)]","[(0, 9534.2275390625), (1, 5391.60791015625)]","[(0, 3601.665771484375), (1, 5524.6533203125)]","[(0, 4484.0986328125), (1, 5395.03857421875)]","[(0, 4782.9677734375), (1, 4918.25244140625)]","[(0, 4192.5302734375), (1, 4297.646484375)]","[(0, 8091.60107421875), (1, 17800.68359375)]","[(0, 3167.299560546875), (1, 2655.443603515625)]","[(0, 3926.333251953125), (1, 3493.0888671875)]","[(0, 3107.220703125), (1, 4218.67236328125)]"
4,"[(0, 1412.956298828125), (1, 1211.2193603515625)]","[(0, 6966.7666015625), (1, 9392.02734375)]","[(0, 2163.261474609375), (1, 2712.423095703125)]","[(0, 2083.43505859375), (1, 2255.181640625)]","[(0, 3545.9052734375), (1, 2480.30517578125)]","[(0, 1448.86376953125), (1, 781.400634765625)]","[(0, 17969.712890625), (1, 13451.5966796875)]","[(0, 10802.541015625), (1, 5034.3095703125)]","[(0, 7342.80322265625), (1, 2501.669921875)]","[(0, 29350.322265625), (1, 20971.068359375)]","[(0, 4720.67626953125), (1, 5004.70703125)]","[(0, 7577.4130859375), (1, 2838.80908203125)]","[(0, 4350.45458984375), (1, 4956.2265625)]","[(0, 2628.8642578125), (1, 3495.1181640625)]","[(0, 5754.3701171875), (1, 5262.72021484375)]","[(0, 4286.1611328125), (1, 3089.718505859375)]","[(0, 5124.123046875), (1, 5841.41650390625)]","[(0, 2800.80224609375), (1, 1946.3514404296875)]","[(0, 2683.513427734375), (1, 3056.2509765625)]","[(0, 8921.4287109375), (1, 9342.955078125)]","[(0, 1709.554931640625), (1, 1410.6021728515625)]","[(0, 3360.898681640625), (1, 3087.627197265625)]","[(0, 4615.65087890625), (1, 7597.6015625)]"
5,"[(0, 3725.22412109375), (1, 3163.487060546875)]","[(0, 4876.58251953125), (1, 6533.34716796875)]","[(0, 2258.177734375), (1, 2707.794189453125)]","[(0, 2111.06591796875), (1, 2313.755615234375)]","[(0, 3297.131591796875), (1, 2664.088134765625)]","[(0, 2103.947998046875), (1, 978.0758666992188)]","[(0, 4837.64013671875), (1, 7016.30712890625)]","[(0, 17359.00390625), (1, 6895.97119140625)]","[(0, 8978.76171875), (1, 3118.022705078125)]","[(0, 87106.7265625), (1, 43227.92578125)]","[(0, 9115.130859375), (1, 10493.8134765625)]","[(0, 8362.5126953125), (1, 3119.227294921875)]","[(0, 7335.0830078125), (1, 7966.72216796875)]","[(0, 6256.2060546875), (1, 5721.75)]","[(0, 4865.52197265625), (1, 4958.9736328125)]","[(0, 2893.55078125), (1, 3161.74365234375)]","[(0, 4179.7392578125), (1, 4507.82666015625)]","[(0, 4111.1376953125), (1, 3042.492919921875)]","[(0, 17425.267578125), (1, 16935.85546875)]","[(0, 3590.6435546875), (1, 25677.19140625)]","[(0, 1361.5638427734375), (1, 1077.0906982421875)]","[(0, 3803.965087890625), (1, 3353.8642578125)]","[(0, 1647.56298828125), (1, 1588.286376953125)]"
6,"[(0, 1955.0838623046875), (1, 1722.8785400390625)]","[(0, 6760.36669921875), (1, 8465.396484375)]","[(0, 2423.142333984375), (1, 2918.188720703125)]","[(0, 1049.6824951171875), (1, 1225.2169189453125)]","[(0, 1130.6802978515625), (1, 1579.0643310546875)]","[(0, 1631.346435546875), (1, 857.5147094726562)]","[(0, 14505.3740234375), (1, 9724.1083984375)]","[(0, 6736.44482421875), (1, 2907.759765625)]","[(0, 6303.18798828125), (1, 1442.6468505859375)]","[(0, 91695.9296875), (1, 128652.4296875)]","[(0, 4060.31640625), (1, 3965.037841796875)]","[(0, 13938.1787109375), (1, 5630.76513671875)]","[(0, 5653.83349609375), (1, 5502.505859375)]","[(0, 5767.7705078125), (1, 7503.57470703125)]","[(0, 6768.171875), (1, 5796.9033203125)]","[(0, 5392.93994140625), (1, 5526.7509765625)]","[(0, 4799.4072265625), (1, 4431.07568359375)]","[(0, 3208.01953125), (1, 3366.47705078125)]","[(0, 3904.97314453125), (1, 4262.23828125)]","[(0, 12261.8544921875), (1, 7971.82958984375)]","[(0, 3838.277587890625), (1, 3491.63671875)]","[(0, 4470.298828125), (1, 3813.470703125)]","[(0, 3377.278564453125), (1, 2902.66162109375)]"
7,"[(0, 2164.245849609375), (1, 1889.603271484375)]","[(0, 4487.3369140625), (1, 5565.90771484375)]","[(0, 2577.753173828125), (1, 3034.798828125)]","[(0, 2453.526611328125), (1, 2322.487060546875)]","[(0, 889.6890869140625), (1, 1404.75634765625)]","[(0, 2973.614013671875), (1, 1351.8077392578125)]","[(0, 6050.263671875), (1, 8546.4501953125)]","[(0, 10252.533203125), (1, 1774.31591796875)]","[(0, 10886.1240234375), (1, 3951.12060546875)]","[(0, 41962.60546875), (1, 42570.73046875)]","[(0, 8025.59228515625), (1, 7325.58984375)]","[(0, 5147.603515625), (1, 1952.306884765625)]","[(0, 4600.1865234375), (1, 6026.302734375)]","[(0, 9071.1123046875), (1, 10499.7197265625)]","[(0, 5786.955078125), (1, 5088.83056640625)]","[(0, 4028.96875), (1, 4242.0634765625)]","[(0, 3777.09521484375), (1, 3566.5556640625)]","[(0, 2702.5185546875), (1, 4314.72607421875)]","[(0, 2952.525146484375), (1, 3238.812744140625)]","[(0, 19677.6640625), (1, 30090.16015625)]","[(0, 2940.326171875), (1, 2497.38134765625)]","[(0, 5785.48193359375), (1, 4657.91162109375)]","[(0, 7374.95263671875), (1, 12389.095703125)]"
8,"[(0, 1569.3519287109375), (1, 1806.732421875)]","[(0, 9363.2294921875), (1, 7841.2724609375)]","[(0, 2675.116943359375), (1, 2864.196044921875)]","[(0, 1965.314208984375), (1, 1847.7724609375)]","[(0, 648.5775146484375), (1, 863.9473266601562)]","[(0, 2665.7197265625), (1, 1227.2529296875)]","[(0, 2751.80810546875), (1, 2503.982666015625)]","[(0, 11370.8466796875), (1, 4358.43994140625)]","[(0, 5321.2626953125), (1, 1390.4967041015625)]","[(0, 4969.2890625), (1, 5336.38623046875)]","[(0, 2531.6259765625), (1, 3169.719970703125)]","[(0, 8086.65625), (1, 3583.292236328125)]","[(0, 16667.693359375), (1, 18593.9609375)]","[(0, 3847.13916015625), (1, 5335.36865234375)]","[(0, 6812.05029296875), (1, 4099.837890625)]","[(0, 15699.4169921875), (1, 12231.5234375)]","[(0, 3764.54833984375), (1, 3748.38427734375)]","[(0, 2261.525634765625), (1, 2088.001953125)]","[(0, 2561.73779296875), (1, 2833.764404296875)]","[(0, 4702.3662109375), (1, 3877.904052734375)]","[(0, 3655.0849609375), (1, 3069.989501953125)]","[(0, 3097.584228515625), (1, 3530.864990234375)]","[(0, 2361.08447265625), (1, 2788.5888671875)]"
9,"[(0, 4634.35693359375), (1, 5149.8720703125)]","[(0, 6439.83349609375), (1, 5565.0908203125)]","[(0, 3528.6533203125), (1, 3747.0048828125)]","[(0, 2070.8017578125), (1, 1941.5516357421875)]","[(0, 3066.10693359375), (1, 4102.1298828125)]","[(0, 3512.571044921875), (1, 1522.489501953125)]","[(0, 2523.47607421875), (1, 2807.244140625)]","[(0, 8492.2099609375), (1, 2581.182373046875)]","[(0, 6224.62255859375), (1, 1856.7540283203125)]","[(0, 27256.69921875), (1, 35643.06640625)]","[(0, 3270.119384765625), (1, 3571.2529296875)]","[(0, 6188.5517578125), (1, 2245.90869140625)]","[(0, 17806.556640625), (1, 19935.28515625)]","[(0, 6719.14111328125), (1, 7586.4443359375)]","[(0, 6794.09228515625), (1, 4168.4931640625)]","[(0, 8062.853515625), (1, 10724.23046875)]","[(0, 3012.164306640625), (1, 2996.306396484375)]","[(0, 3383.900634765625), (1, 4069.872802734375)]","[(0, 3768.43115234375), (1, 3444.270263671875)]","[(0, 4225.21484375), (1, 6948.30810546875)]","[(0, 1878.0164794921875), (1, 1587.773681640625)]","[(0, 3322.072509765625), (1, 3859.059326171875)]","[(0, 5017.00732421875), (1, 4516.45849609375)]"
