,epoch_0
agreement_determiner_noun-across_1_adjective,0.522
agreement_determiner_noun-between_neighbors,0.538
agreement_subject_verb-across_prepositional_phrase,0.5
agreement_subject_verb-across_relative_clause,0.507
agreement_subject_verb-in_question_with_aux,0.501
agreement_subject_verb-in_simple_question,0.487
anaphor_agreement-pronoun_gender,0.464
argument_structure-dropped_argument,0.352
argument_structure-swapped_arguments,0.9305
argument_structure-transitive,0.4575
binding-principle_a,0.544
case-subjective_pronoun,0.9295
ellipsis-n_bar,0.6535
filler-gap-wh_question_object,0.9995
filler-gap-wh_question_subject,1.0
irregular-verb,0.4795
island-effects-adjunct_island,0.887
island-effects-coordinate_structure_constraint,0.508
local_attractor-in_question_with_aux,0.443
npi_licensing-matrix_question,0.7305
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.274
quantifiers-superlative,0.9825
