,best
agreement_determiner_noun-across_1_adjective,0.52
agreement_determiner_noun-between_neighbors,0.5085
agreement_subject_verb-across_prepositional_phrase,0.491
agreement_subject_verb-across_relative_clause,0.4915
agreement_subject_verb-in_question_with_aux,0.494
agreement_subject_verb-in_simple_question,0.4825
anaphor_agreement-pronoun_gender,0.4915
argument_structure-dropped_argument,0.402
argument_structure-swapped_arguments,0.9315
argument_structure-transitive,0.53
binding-principle_a,0.5705
case-subjective_pronoun,0.9345
ellipsis-n_bar,0.536
filler-gap-wh_question_object,0.774
filler-gap-wh_question_subject,1.0
irregular-verb,0.4585
island-effects-adjunct_island,0.845
island-effects-coordinate_structure_constraint,0.2085
local_attractor-in_question_with_aux,0.661
npi_licensing-matrix_question,0.5495
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.703
quantifiers-superlative,0.9645
