,best
agreement_determiner_noun-across_1_adjective,0.505
agreement_determiner_noun-between_neighbors,0.569
agreement_subject_verb-across_prepositional_phrase,0.506
agreement_subject_verb-across_relative_clause,0.523
agreement_subject_verb-in_question_with_aux,0.4995
agreement_subject_verb-in_simple_question,0.51
anaphor_agreement-pronoun_gender,0.504
argument_structure-dropped_argument,0.8005
argument_structure-swapped_arguments,0.995
argument_structure-transitive,0.6795
binding-principle_a,0.3905
case-subjective_pronoun,0.9985
ellipsis-n_bar,0.5245
filler-gap-wh_question_object,0.213
filler-gap-wh_question_subject,0.9445
irregular-verb,0.6915
island-effects-adjunct_island,0.4135
island-effects-coordinate_structure_constraint,0.676
local_attractor-in_question_with_aux,0.572
npi_licensing-matrix_question,0.13
npi_licensing-only_npi_licensor,0.582
quantifiers-existential_there,0.781
quantifiers-superlative,0.4775
