,best
agreement_determiner_noun-across_1_adjective,0.5015
agreement_determiner_noun-between_neighbors,0.519
agreement_subject_verb-across_prepositional_phrase,0.514
agreement_subject_verb-across_relative_clause,0.5
agreement_subject_verb-in_question_with_aux,0.4995
agreement_subject_verb-in_simple_question,0.5
anaphor_agreement-pronoun_gender,0.5185
argument_structure-dropped_argument,0.882
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.563
binding-principle_a,0.364
case-subjective_pronoun,1.0
ellipsis-n_bar,0.124
filler-gap-wh_question_object,0.1345
filler-gap-wh_question_subject,0.759
irregular-verb,0.568
island-effects-adjunct_island,0.4185
island-effects-coordinate_structure_constraint,0.1385
local_attractor-in_question_with_aux,0.6665
npi_licensing-matrix_question,0.528
npi_licensing-only_npi_licensor,0.993
quantifiers-existential_there,0.745
quantifiers-superlative,0.2055
