,best
agreement_determiner_noun-across_1_adjective,0.477
agreement_determiner_noun-between_neighbors,0.4995
agreement_subject_verb-across_prepositional_phrase,0.4995
agreement_subject_verb-across_relative_clause,0.477
agreement_subject_verb-in_question_with_aux,0.488
agreement_subject_verb-in_simple_question,0.471
anaphor_agreement-pronoun_gender,0.461
argument_structure-dropped_argument,0.6705
argument_structure-swapped_arguments,0.2395
argument_structure-transitive,0.5885
binding-principle_a,0.495
case-subjective_pronoun,0.217
ellipsis-n_bar,0.481
filler-gap-wh_question_object,0.646
filler-gap-wh_question_subject,0.975
irregular-verb,0.4975
island-effects-adjunct_island,0.342
island-effects-coordinate_structure_constraint,0.6925
local_attractor-in_question_with_aux,0.5915
npi_licensing-matrix_question,0.626
npi_licensing-only_npi_licensor,0.9995
quantifiers-existential_there,0.838
quantifiers-superlative,0.036
