,best
agreement_determiner_noun-across_1_adjective,0.512
agreement_determiner_noun-between_neighbors,0.5185
agreement_subject_verb-across_prepositional_phrase,0.506
agreement_subject_verb-across_relative_clause,0.488
agreement_subject_verb-in_question_with_aux,0.5005
agreement_subject_verb-in_simple_question,0.4965
anaphor_agreement-pronoun_gender,0.525
argument_structure-dropped_argument,0.933
argument_structure-swapped_arguments,0.9995
argument_structure-transitive,0.5345
binding-principle_a,0.23
case-subjective_pronoun,0.998
ellipsis-n_bar,0.1795
filler-gap-wh_question_object,0.25
filler-gap-wh_question_subject,0.8805
irregular-verb,0.5505
island-effects-adjunct_island,0.5225
island-effects-coordinate_structure_constraint,0.358
local_attractor-in_question_with_aux,0.6125
npi_licensing-matrix_question,0.4015
npi_licensing-only_npi_licensor,0.958
quantifiers-existential_there,0.622
quantifiers-superlative,0.438
