,best
agreement_determiner_noun-across_1_adjective,0.507
agreement_determiner_noun-between_neighbors,0.5015
agreement_subject_verb-across_prepositional_phrase,0.4995
agreement_subject_verb-across_relative_clause,0.4975
agreement_subject_verb-in_question_with_aux,0.499
agreement_subject_verb-in_simple_question,0.496
anaphor_agreement-pronoun_gender,0.5515
argument_structure-dropped_argument,0.873
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5055
binding-principle_a,0.4735
case-subjective_pronoun,0.9965
ellipsis-n_bar,0.262
filler-gap-wh_question_object,0.119
filler-gap-wh_question_subject,0.9995
irregular-verb,0.499
island-effects-adjunct_island,0.454
island-effects-coordinate_structure_constraint,0.455
local_attractor-in_question_with_aux,0.8055
npi_licensing-matrix_question,0.6795
npi_licensing-only_npi_licensor,0.9055
quantifiers-existential_there,0.735
quantifiers-superlative,0.0165
