,best
agreement_determiner_noun-across_1_adjective,0.515
agreement_determiner_noun-between_neighbors,0.535
agreement_subject_verb-across_prepositional_phrase,0.506
agreement_subject_verb-across_relative_clause,0.5095
agreement_subject_verb-in_question_with_aux,0.5015
agreement_subject_verb-in_simple_question,0.5
anaphor_agreement-pronoun_gender,0.516
argument_structure-dropped_argument,0.9345
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6475
binding-principle_a,0.315
case-subjective_pronoun,1.0
ellipsis-n_bar,0.268
filler-gap-wh_question_object,0.413
filler-gap-wh_question_subject,0.7005
irregular-verb,0.5645
island-effects-adjunct_island,0.604
island-effects-coordinate_structure_constraint,0.6145
local_attractor-in_question_with_aux,0.4405
npi_licensing-matrix_question,0.1815
npi_licensing-only_npi_licensor,0.196
quantifiers-existential_there,0.733
quantifiers-superlative,0.5
