,best
agreement_determiner_noun-across_1_adjective,0.508
agreement_determiner_noun-between_neighbors,0.496
agreement_subject_verb-across_prepositional_phrase,0.491
agreement_subject_verb-across_relative_clause,0.496
agreement_subject_verb-in_question_with_aux,0.512
agreement_subject_verb-in_simple_question,0.5165
anaphor_agreement-pronoun_gender,0.533
argument_structure-dropped_argument,0.893
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.536
binding-principle_a,0.441
case-subjective_pronoun,0.988
ellipsis-n_bar,0.1285
filler-gap-wh_question_object,0.1315
filler-gap-wh_question_subject,1.0
irregular-verb,0.501
island-effects-adjunct_island,0.435
island-effects-coordinate_structure_constraint,0.441
local_attractor-in_question_with_aux,0.565
npi_licensing-matrix_question,0.4755
npi_licensing-only_npi_licensor,0.9995
quantifiers-existential_there,0.7425
quantifiers-superlative,0.509
